LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1713793990.605265,493040,12528,1,SA,1,100,0.000014
1713793991.338275,493773,12646,1,SA,1,100,0.000009
1713793991.605279,494040,12730,1,SA,1,100,0.000018
1713793992.271289,494706,12829,1,SA,1,100,0.000016
1713793992.871298,495306,12880,1,SA,1,100,0.000006
1713793993.071301,495506,12915,1,SA,1,100,0.000006
1713793993.538308,495973,13019,1,SA,1,100,0.000007
1713793993.804312,496239,13056,1,SA,1,100,0.000007
1713793994.138317,496573,13106,1,SA,1,100,0.000004
1713793994.337320,496772,13159,1,SA,1,100,0.000012
1713793994.937329,497372,13241,1,SA,1,100,0.000003
1713793995.137332,497572,13344,1,SA,1,100,0.000020
1713793995.737341,498172,13413,1,SA,1,100,0.000012
1713793996.137347,498572,13466,1,SA,1,100,0.000014
