LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1713793987.205214,489640,12002,1,SR,1,100,0.333333
1713793987.671221,490106,12053,1,SR,1,100,0.200000
1713793988.404232,490839,12157,1,SR,1,100,0.133333
1713793988.804238,491239,12227,1,SR,1,100,0.133333
1713793989.204244,491639,12296,1,SR,1,100,0.200000
1713793989.938255,492373,12395,1,SR,1,100,0.066667
1713793990.405262,492840,12479,1,SR,1,100,0.066667
1713793990.605265,493040,12529,1,SR,1,100,0.200000
1713793991.338275,493773,12647,1,SR,1,100,0.133333
1713793991.605279,494040,12731,1,SR,1,100,0.400000
1713793992.271289,494706,12830,1,SR,1,100,0.333333
1713793992.871298,495306,12881,1,SR,1,100,0.066667
1713793993.071301,495506,12916,1,SR,1,100,0.066667
1713793993.538308,495973,13020,1,SR,1,100,0.133333
1713793993.804312,496239,13057,1,SR,1,100,0.066667
1713793994.138317,496573,13107,1,SR,1,100,0.066667
1713793994.337320,496772,13160,1,SR,1,100,0.200000
1713793994.937329,497372,13242,1,SR,1,100,0.066667
1713793995.137332,497572,13345,1,SR,1,100,0.466667
1713793995.737341,498172,13414,1,SR,1,100,0.266667
1713793996.137347,498572,13467,1,SR,1,100,0.266667
