LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1713793823.951796,326389.000,51012,1,SF,1,100,0.0000
1713793824.284801,326722.000,51062,1,SF,1,100,0.0000
1713793824.618806,327056.000,51111,1,SF,1,100,0.0000
1713793824.951811,327389.000,51168,1,SF,1,100,0.0000
1713793825.284816,327722.000,51217,1,SF,1,100,0.0000
1713793825.684822,328122.000,51282,1,SF,1,100,0.0000
1713793825.951825,328389.000,51332,1,SF,1,100,0.0000
1713793826.284830,328722.000,51381,1,SF,1,100,0.0000
1713793826.884839,329322.000,51446,1,SF,1,100,0.0000
1713793827.084842,329522.000,51463,1,SF,1,100,0.0000
1713793827.284845,329722.000,51495,1,SF,1,100,0.0000
1713793827.684851,330122.000,51560,1,SF,1,100,0.0000
1713793828.018856,330456.000,51611,1,SF,1,100,0.0000
1713793828.284860,330722.000,51659,1,SF,1,100,0.0000
1713793828.617865,331055.000,51708,1,SF,1,100,0.0000
1713793829.017871,331455.000,51775,1,SF,1,100,0.0000
1713793829.284875,331722.000,51825,1,SF,1,100,0.0000
1713793829.617880,332055.000,51874,1,SF,1,100,0.0000
1713793829.951885,332389.000,51928,1,SF,1,100,0.0000
1713793830.284890,332722.000,51977,1,SF,1,100,0.0000
1713793830.684896,333122.000,52042,1,SF,1,100,0.0000
1713793830.951900,333389.000,52090,1,SF,1,100,0.0000
1713793831.284904,333722.000,52141,1,SF,1,100,0.0000
1713793831.617909,334055.000,52189,1,SF,1,100,0.0000
1713793832.017915,334455.000,52254,1,SF,1,100,0.0000
1713793832.284919,334722.000,52305,1,SF,1,100,0.0000
1713793832.617924,335055.000,52353,1,SF,1,100,0.0000
1713793833.017930,335455.000,52418,1,SF,1,100,0.0000
1713793833.350935,335788.000,52469,1,SF,1,100,0.0000
1713793833.617939,336055.000,52517,1,SF,1,100,0.0000
1713793833.950944,336388.000,52566,1,SF,1,100,0.0000
1713793834.350950,336788.000,52633,1,SF,1,100,0.0000
1713793834.617954,337055.000,52683,1,SF,1,100,0.0000
1713793835.017960,337455.000,52737,1,SF,1,100,0.0000
1713793835.283964,337721.000,52787,1,SF,1,100,0.0000
1713793835.617969,338055.000,52836,1,SF,1,100,0.0000
1713793836.017975,338455.000,52901,1,SF,1,100,0.0000
1713793836.283978,338721.000,52949,1,SF,1,100,0.0000
1713793836.617984,339055.000,52998,1,SF,1,100,0.0000
1713793837.016989,339454.000,53064,1,SF,1,100,0.0000
1713793837.350994,339788.000,53113,1,SF,1,100,0.0000
1713793837.616998,340054.000,53162,1,SF,1,100,0.0000
1713793837.951003,340388.000,53210,1,SF,1,100,0.0000
1713793838.351009,340788.000,53275,1,SF,1,100,0.0000
1713793838.617013,341054.000,53326,1,SF,1,100,0.0000
1713793838.951018,341388.000,53374,1,SF,1,100,0.0000
1713793839.284023,341721.000,53425,1,SF,1,100,0.0000
1713793839.684029,342121.000,53490,1,SF,1,100,0.0000
1713793839.951033,342388.000,53540,1,SF,1,100,0.0000
1713793840.284038,342721.000,53593,1,SF,1,100,0.0000
1713793840.617043,343054.000,53642,1,SF,1,100,0.0000
1713793840.951048,343388.000,53692,1,SF,1,100,0.0000
