LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1716209229.643439,242410,38000,1,SR,1,100,0.133333
1716209229.910442,242677,38036,1,SR,1,100,0.066667
1716209230.777452,243544,38234,1,SR,1,100,0.400000
1716209231.310458,244077,38419,1,SR,1,100,1.000000
1716209233.376482,246143,38617,1,SR,1,100,0.066667
1716209233.576485,246343,38670,1,SR,1,100,0.200000
1716209234.309493,247076,38769,1,SR,1,100,0.066667
1716209234.509496,247276,38796,1,SR,1,100,0.066667
1716209234.976501,247743,38879,1,SR,1,100,0.133333
1716209235.643509,248410,39077,1,SR,1,100,0.600000
1716209236.376518,249143,39113,1,SR,1,100,0.133333
1716209236.642521,249409,39147,1,SR,1,100,0.066667
1716209237.243528,250010,39264,1,SR,1,100,0.133333
1716209237.643532,250410,39332,1,SR,1,100,0.200000
1716209238.109538,250876,39432,1,SR,1,100,0.266667
1716209238.643544,251410,39518,1,SR,1,100,0.333333
1716209239.376553,252143,39641,1,SR,1,100,0.266667
1716209239.775557,252542,39660,1,SR,1,100,0.066667
1716209240.109561,252876,39729,1,SR,1,100,0.066667
1716209240.709568,253476,39827,1,SR,1,100,0.066667
1716209241.043572,253810,39880,1,SR,1,100,0.066667
1716209241.243574,254010,39930,1,SR,1,100,0.133333
1716209241.643579,254410,39981,1,SR,1,100,0.066667
1716209242.242586,255009,40147,1,SR,1,100,0.533333
1716209243.042595,255809,40217,1,SR,1,100,0.133333
1716209243.308599,256075,40300,1,SR,1,100,0.333333
1716209244.042607,256809,40389,1,SR,1,100,0.133333
1716209244.576613,257343,40511,1,SR,1,100,0.400000
1716209245.108619,257875,40545,1,SR,1,100,0.066667
1716209245.708627,258475,40646,1,SR,1,100,0.133333
1716209246.242633,259009,40730,1,SR,1,100,0.066667
1716209246.442635,259209,40799,1,SR,1,100,0.333333
1716209247.175644,259942,40883,1,SR,1,100,0.066667
1716209247.375646,260142,40965,1,SR,1,100,0.333333
1716209247.975653,260742,41051,1,SR,1,100,0.266667
1716209248.641661,261408,41156,1,SR,1,100,0.266667
1716209249.175667,261942,41223,1,SR,1,100,0.066667
1716209249.375669,262142,41256,1,SR,1,100,0.066667
1716209249.574672,262341,41329,1,SR,1,100,0.333333
1716209250.041677,262808,41362,1,SR,1,100,0.066667
1716209250.508682,263275,41449,1,SR,1,100,0.133333
1716209251.308692,264075,41629,1,SR,1,100,0.466667
1716209251.908699,264675,41699,1,SR,1,100,0.266667
1716209252.441705,265208,41783,1,SR,1,100,0.266667
1716209252.841710,265608,41837,1,SR,1,100,0.133333
1716209253.241714,266008,41987,1,SR,1,100,0.600000
1716209254.508729,267275,42135,1,SR,1,100,0.266667
1716209254.907734,267674,42211,1,SR,1,100,0.333333
1716209255.507741,268274,42296,1,SR,1,100,0.266667
1716209255.908746,268675,42330,1,SR,1,100,0.066667
1716209256.240750,269007,42414,1,SR,1,100,0.200000
1716209256.574753,269341,42448,1,SR,1,100,0.066667
1716209256.774756,269541,42517,1,SR,1,100,0.266667
1716209257.308762,270075,42618,1,SR,1,100,0.333333
1716209257.907769,270674,42685,1,SR,1,100,0.200000
1716209258.641778,271408,42786,1,SR,1,100,0.066667
1716209259.107783,271874,42921,1,SR,1,100,0.400000
1716209260.040794,272807,43024,1,SR,1,100,0.066667
1716209260.240796,273007,43076,1,SR,1,100,0.266667
1716209261.041806,273808,43225,1,SR,1,100,0.333333
1716209261.641813,274408,43292,1,SR,1,100,0.133333
1716209262.041817,274808,43360,1,SR,1,100,0.133333
1716209262.307820,275074,43410,1,SR,1,100,0.200000
1716209263.174830,275941,43528,1,SR,1,100,0.066667
1716209263.374833,276141,43613,1,SR,1,100,0.333333
1716209263.840838,276607,43653,1,SR,1,100,0.066667
1716209264.040841,276807,43720,1,SR,1,100,0.266667
1716209264.440845,277207,43771,1,SR,1,100,0.200000
1716209265.040852,277807,43877,1,SR,1,100,0.200000
1716209265.373856,278140,43915,1,SR,1,100,0.133333
1716209265.640859,278407,43948,1,SR,1,100,0.066667
1716209266.106865,278873,44049,1,SR,1,100,0.200000
1716209266.439869,279206,44116,1,SR,1,100,0.266667
1716209267.106876,279873,44200,1,SR,1,100,0.133333
1716209267.639883,280406,44299,1,SR,1,100,0.266667
1716209268.307890,281074,44431,1,SR,1,100,0.333333
1716209268.773896,281540,44486,1,SR,1,100,0.200000
1716209269.373903,282140,44571,1,SR,1,100,0.133333
1716209269.772907,282539,44641,1,SR,1,100,0.133333
1716209270.172912,282939,44728,1,SR,1,100,0.266667
1716209270.572917,283339,44762,1,SR,1,100,0.066667
1716209270.772919,283539,44814,1,SR,1,100,0.200000
1716209271.239925,284006,44865,1,SR,1,100,0.066667
1716209271.572929,284339,44932,1,SR,1,100,0.066667
1716209271.906933,284673,45032,1,SR,1,100,0.400000
1716209272.839943,285606,45148,1,SR,1,100,0.133333
1716209273.105947,285872,45182,1,SR,1,100,0.133333
1716209273.505951,286272,45249,1,SR,1,100,0.133333
1716209273.772954,286539,45337,1,SR,1,100,0.333333
1716209274.239960,287006,45373,1,SR,1,100,0.066667
1716209274.572964,287339,45423,1,SR,1,100,0.066667
1716209274.905967,287672,45508,1,SR,1,100,0.266667
1716209275.305972,288072,45563,1,SR,1,100,0.133333
1716209275.572975,288339,45618,1,SR,1,100,0.333333
1716209276.439986,289206,45767,1,SR,1,100,0.333333
1716209276.905991,289672,45803,1,SR,1,100,0.066667
1716209277.239995,290006,45903,1,SR,1,100,0.333333
1716209277.706000,290472,45920,1,SR,1,100,0.066667
1716209278.173006,290939,46038,1,SR,1,100,0.266667
1716209278.573010,291339,46074,1,SR,1,100,0.066667
1716209278.773013,291539,46126,1,SR,1,100,0.133333
1716209279.439020,292205,46229,1,SR,1,100,0.066667
1716209279.639023,292405,46313,1,SR,1,100,0.466667
1716209280.506033,293272,46399,1,SR,1,100,0.066667
1716209280.840037,293606,46487,1,SR,1,100,0.266667
1716209281.239042,294005,46537,1,SR,1,100,0.200000
1716209281.973050,294739,46689,1,SR,1,100,0.333333
1716209282.573057,295339,46773,1,SR,1,100,0.266667
1716209283.239065,296005,46905,1,SR,1,100,0.400000
1716209283.772071,296538,46941,1,SR,1,100,0.066667
1716209283.972074,296738,46976,1,SR,1,100,0.066667
1716209284.439079,297205,47044,1,SR,1,100,0.066667
1716209285.039086,297805,47193,1,SR,1,100,0.333333
1716209285.505091,298271,47227,1,SR,1,100,0.066667
1716209285.839095,298605,47301,1,SR,1,100,0.200000
1716209286.172099,298938,47371,1,SR,1,100,0.333333
1716209286.772106,299538,47454,1,SR,1,100,0.200000
1716209287.106110,299872,47488,1,SR,1,100,0.066667
1716209287.306113,300072,47540,1,SR,1,100,0.200000
1716209287.639116,300405,47590,1,SR,1,100,0.133333
1716209287.905119,300671,47624,1,SR,1,100,0.066667
1716209288.505126,301271,47759,1,SR,1,100,0.333333
1716209289.505138,302271,47892,1,SR,1,100,0.066667
1716209289.705140,302471,47926,1,SR,1,100,0.066667
1716209289.905143,302671,47946,1,SR,1,100,0.066667
1716209290.238147,303004,48013,1,SR,1,100,0.133333
1716209290.772153,303538,48097,1,SR,1,100,0.066667
1716209291.105157,303871,48153,1,SR,1,100,0.066667
1716209291.305159,304071,48220,1,SR,1,100,0.266667
1716209291.705164,304471,48255,1,SR,1,100,0.066667
1716209292.039168,304805,48305,1,SR,1,100,0.066667
1716209292.238170,305004,48406,1,SR,1,100,0.466667
1716209293.638186,306404,48606,1,SR,1,100,0.266667
1716209294.172193,306938,48657,1,SR,1,100,0.066667
1716209294.505197,307271,48709,1,SR,1,100,0.066667
1716209294.705199,307471,48762,1,SR,1,100,0.200000
1716209295.171204,307937,48829,1,SR,1,100,0.066667
1716209295.505208,308271,48896,1,SR,1,100,0.133333
1716209295.771211,308537,48930,1,SR,1,100,0.066667
1716209296.104215,308870,48971,1,SR,1,100,0.066667
1716209296.438219,309204,49038,1,SR,1,100,0.133333
1716209297.104227,309870,49155,1,SR,1,100,0.133333
1716209297.371230,310137,49188,1,SR,1,100,0.066667
1716209297.571232,310337,49241,1,SR,1,100,0.200000
1716209298.037238,310803,49323,1,SR,1,100,0.266667
1716209298.705245,311471,49426,1,SR,1,100,0.200000
1716209299.037250,311803,49460,1,SR,1,100,0.066667
1716209299.638257,312404,49596,1,SR,1,100,0.266667
1716209300.038261,312804,49679,1,SR,1,100,0.333333
1716209300.504267,313270,49714,1,SR,1,100,0.066667
1716209300.704269,313470,49732,1,SR,1,100,0.066667
1716209301.037273,313803,49822,1,SR,1,100,0.333333
1716209301.504278,314270,49859,1,SR,1,100,0.066667
1716209302.104285,314870,49960,1,SR,1,100,0.066667
1716209302.304288,315070,49993,1,SR,1,100,0.066667
1716209302.504290,315270,50029,1,SR,1,100,0.066667
