LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1716209197.246060,210013.000,32665,1,EL,1,100,2670.600098
1716209197.313061,210080.000,32682,2,EL,1,100,2667.800049
1716209197.380062,210147.000,32682,2,EL,1,100,2663.000000
1716209197.446063,210213.000,32698,1,EL,1,100,2660.000000
1716209197.513063,210280.000,32716,2,EL,1,100,2657.199951
1716209197.580064,210347.000,32716,2,EL,1,100,2655.600098
1716209197.646065,210413.000,32732,1,EL,1,100,2655.000000
1716209197.713066,210480.000,32749,2,EL,1,100,2652.800049
1716209197.780066,210547.000,32749,2,EL,1,100,2651.399902
1716209197.846067,210613.000,32766,1,EL,1,100,2649.199951
1716209197.913068,210680.000,32782,2,EL,1,100,2647.600098
1716209197.980069,210747.000,32782,2,EL,1,100,2643.600098
1716209198.046070,210813.000,32797,1,EL,1,100,2639.399902
1716209198.113070,210880.000,32815,2,EL,1,100,2637.800049
1716209198.180071,210947.000,32815,2,EL,1,100,2635.000000
1716209198.246572,211013.500,32831,2,EL,1,100,2631.199951
1716209198.313073,211080.000,32831,2,EL,1,100,2628.800049
1716209198.380074,211147.000,32848,1,EL,1,100,2625.399902
1716209198.446574,211213.500,32865,2,EL,1,100,2623.399902
1716209198.513075,211280.000,32865,2,EL,1,100,2620.800049
1716209198.580076,211347.000,32882,1,EL,1,100,2616.600098
1716209198.646577,211413.500,32903,2,EL,1,100,2609.800049
1716209198.713078,211480.000,32903,2,EL,1,100,2608.000000
1716209198.779578,211546.500,32923,2,EL,1,100,2607.000000
1716209198.846079,211613.000,32923,2,EL,1,100,2607.199951
1716209198.913080,211680.000,32941,1,EL,1,100,2606.199951
1716209198.979581,211746.500,32958,2,EL,1,100,2601.000000
1716209199.046081,211813.000,32958,2,EL,1,100,2598.399902
1716209199.113082,211880.000,32974,1,EL,1,100,2597.600098
1716209199.179583,211946.500,32992,2,EL,1,100,2596.800049
1716209199.246084,212013.000,32992,2,EL,1,100,2593.199951
1716209199.313084,212080.000,33008,1,EL,1,100,2589.600098
1716209199.379585,212146.500,33024,2,EL,1,100,2587.000000
1716209199.446086,212213.000,33024,2,EL,1,100,2584.199951
1716209199.512587,212279.500,33042,2,EL,1,100,2583.600098
1716209199.579087,212346.000,33042,2,EL,1,100,2582.600098
1716209199.646088,212413.000,33059,1,EL,1,100,2579.800049
1716209199.712589,212479.500,33075,2,EL,1,100,2581.399902
1716209199.779090,212546.000,33075,2,EL,1,100,2575.199951
1716209199.846091,212613.000,33093,1,EL,1,100,2570.800049
1716209199.912591,212679.500,33107,2,EL,1,100,2566.199951
1716209199.979092,212746.000,33107,2,EL,1,100,2564.600098
1716209200.046093,212813.000,33126,1,EL,1,100,2563.199951
1716209200.112594,212879.500,33143,2,EL,1,100,2561.600098
1716209200.179095,212946.000,33143,2,EL,1,100,2559.000000
1716209200.246095,213013.000,33160,1,EL,1,100,2557.800049
1716209200.312596,213079.500,33174,2,EL,1,100,2558.199951
1716209200.379097,213146.000,33174,2,EL,1,100,2556.399902
1716209200.446098,213213.000,33191,1,EL,1,100,2553.199951
1716209200.512599,213279.500,33208,2,EL,1,100,2551.000000
1716209200.579099,213346.000,33208,2,EL,1,100,2548.000000
1716209200.646100,213413.000,33225,1,EL,1,100,2543.399902
1716209200.712601,213479.500,33239,2,EL,1,100,2541.199951
1716209200.779102,213546.000,33239,2,EL,1,100,2538.800049
1716209200.846102,213613.000,33261,1,EL,1,100,2537.800049
1716209200.912603,213679.500,33277,2,EL,1,100,2533.000000
1716209200.979104,213746.000,33277,2,EL,1,100,2529.600098
1716209201.046105,213813.000,33296,1,EL,1,100,2528.800049
1716209201.112606,213879.500,33311,2,EL,1,100,2525.800049
1716209201.179106,213946.000,33311,2,EL,1,100,2523.000000
1716209201.246107,214013.000,33328,1,EL,1,100,2519.800049
1716209201.312608,214079.500,33346,2,EL,1,100,2517.600098
1716209201.379109,214146.000,33346,2,EL,1,100,2515.800049
1716209201.446109,214213.000,33363,1,EL,1,100,2514.399902
1716209201.512610,214279.500,33379,2,EL,1,100,2511.000000
1716209201.579111,214346.000,33379,2,EL,1,100,2507.000000
1716209201.646112,214413.000,33395,2,EL,1,100,2505.000000
1716209201.713113,214480.000,33395,2,EL,1,100,2502.000000
1716209201.779113,214546.000,33413,1,EL,1,100,2498.199951
1716209201.846114,214613.000,33431,2,EL,1,100,2495.800049
1716209201.913115,214680.000,33431,2,EL,1,100,2492.800049
1716209201.979115,214746.000,33447,1,EL,1,100,2489.600098
1716209202.046116,214813.000,33462,2,EL,1,100,2485.199951
1716209202.113117,214880.000,33462,2,EL,1,100,2483.600098
1716209202.179118,214946.000,33479,1,EL,1,100,2480.800049
1716209202.246119,215013.000,33500,2,EL,1,100,2479.000000
1716209202.313119,215080.000,33500,2,EL,1,100,2475.800049
1716209202.379120,215146.000,33516,1,EL,1,100,2474.800049
1716209202.445621,215212.500,33532,2,EL,1,100,2474.399902
1716209202.512122,215279.000,33532,2,EL,1,100,2474.000000
