LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713793806.694540,309132.000,48287,1,TH,1,100,32.147
1713793806.828542,309266.000,48303,1,TH,1,100,32.147
1713793806.961544,309399.000,48321,1,TH,1,100,32.135
1713793807.094546,309532.000,48352,1,TH,1,100,32.135
1713793807.228548,309666.000,48368,1,TH,1,100,32.113
1713793807.361550,309799.000,48386,1,TH,1,100,32.113
1713793807.494552,309932.000,48417,1,TH,1,100,32.200
1713793807.627554,310065.000,48434,1,TH,1,100,32.200
1713793807.761556,310199.000,48451,1,TH,1,100,32.159
1713793807.894558,310332.000,48467,1,TH,1,100,32.159
1713793808.027560,310465.000,48499,1,TH,1,100,32.181
1713793808.161562,310599.000,48516,1,TH,1,100,32.181
1713793808.294564,310732.000,48533,1,TH,1,100,32.159
1713793808.427566,310865.000,48564,1,TH,1,100,32.159
1713793808.561568,310999.000,48581,1,TH,1,100,32.154
1713793808.694570,311132.000,48598,1,TH,1,100,32.154
1713793808.827572,311265.000,48629,1,TH,1,100,32.050
1713793808.961574,311399.000,48647,1,TH,1,100,32.050
1713793809.094576,311532.000,48665,1,TH,1,100,32.161
1713793809.227578,311665.000,48697,1,TH,1,100,32.169
1713793809.361580,311799.000,48719,1,TH,1,100,32.195
1713793809.494582,311932.000,48735,1,TH,1,100,32.195
1713793809.627584,312065.000,48753,1,TH,1,100,32.135
1713793809.761586,312199.000,48769,1,TH,1,100,32.135
1713793809.894588,312332.000,48801,1,TH,1,100,32.188
1713793810.027590,312465.000,48818,1,TH,1,100,32.188
1713793810.161592,312599.000,48834,1,TH,1,100,32.198
1713793810.294594,312732.000,48866,1,TH,1,100,32.198
1713793810.427596,312865.000,48883,1,TH,1,100,32.178
1713793810.560597,312998.000,48899,1,TH,1,100,32.178
1713793810.694599,313132.000,48931,1,TH,1,100,32.113
1713793810.827601,313265.000,48948,1,TH,1,100,32.113
1713793810.960603,313398.000,48966,1,TH,1,100,32.088
1713793811.094605,313532.000,48981,1,TH,1,100,32.088
1713793811.227607,313665.000,48998,1,TH,1,100,32.193
1713793811.360609,313798.000,49015,1,TH,1,100,32.193
1713793811.494611,313932.000,49046,1,TH,1,100,32.198
1713793811.627613,314065.000,49064,1,TH,1,100,32.198
1713793811.760615,314198.000,49080,1,TH,1,100,32.195
1713793811.894617,314332.000,49097,1,TH,1,100,32.202
1713793812.027619,314465.000,49129,1,TH,1,100,32.241
1713793812.160621,314598.000,49145,1,TH,1,100,32.241
1713793812.294623,314732.000,49163,1,TH,1,100,32.149
1713793812.427625,314865.000,49194,1,TH,1,100,32.149
1713793812.560627,314998.000,49210,1,TH,1,100,32.146
1713793812.694629,315132.000,49228,1,TH,1,100,32.146
1713793812.827631,315265.000,49259,1,TH,1,100,32.117
1713793812.960633,315398.000,49276,1,TH,1,100,32.117
1713793813.094635,315532.000,49293,1,TH,1,100,32.168
1713793813.227637,315665.000,49326,1,TH,1,100,32.168
1713793813.360639,315798.000,49341,1,TH,1,100,32.214
1713793813.494641,315932.000,49358,1,TH,1,100,32.214
1713793813.627643,316065.000,49375,1,TH,1,100,32.193
1713793813.760645,316198.000,49392,1,TH,1,100,32.193
1713793813.893647,316331.000,49424,1,TH,1,100,32.193
1713793814.027649,316465.000,49442,1,TH,1,100,32.193
1713793814.160651,316598.000,49459,1,TH,1,100,32.180
1713793814.294653,316732.000,49491,1,TH,1,100,32.188
1713793814.427655,316865.000,49513,2,TH,1,100,32.193
1713793814.560657,316998.000,49513,2,TH,1,100,32.193
1713793814.693659,317131.000,49545,1,TH,1,100,32.202
1713793814.827661,317265.000,49563,1,TH,1,100,32.202
1713793814.960663,317398.000,49581,1,TH,1,100,32.193
1713793815.093665,317531.000,49612,1,TH,1,100,32.193
1713793815.227667,317665.000,49628,1,TH,1,100,32.219
1713793815.360669,317798.000,49646,1,TH,1,100,32.219
1713793815.493670,317931.000,49662,1,TH,1,100,32.178
1713793815.627673,318065.000,49694,1,TH,1,100,32.178
1713793815.760674,318198.000,49711,1,TH,1,100,32.234
1713793815.893677,318331.000,49727,1,TH,1,100,32.234
1713793816.027678,318465.000,49759,1,TH,1,100,32.253
1713793816.160681,318598.000,49776,1,TH,1,100,32.253
1713793816.293682,318731.000,49793,1,TH,1,100,32.197
1713793816.427684,318865.000,49826,1,TH,1,100,32.197
