LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1729244945.511513,320423.000,46055,1,SF,1,100,0.5484
1729244945.844511,320756.000,46106,1,SF,1,100,0.5421
1729244946.244509,321156.000,46171,1,SF,1,100,0.5358
1729244946.511508,321423.000,46220,1,SF,1,100,0.5296
1729244946.844506,321756.000,46268,1,SF,1,100,0.5235
1729244947.244504,322156.000,46335,1,SF,1,100,0.5174
1729244947.511503,322423.000,46386,1,SF,1,100,0.5114
1729244947.844501,322756.000,46436,1,SF,1,100,0.5055
1729244948.177500,323089.000,46485,1,SF,1,100,0.4997
1729244948.577498,323489.000,46552,1,SF,1,100,0.4939
1729244948.844496,323756.000,46604,1,SF,1,100,0.4882
1729244949.177495,324089.000,46653,1,SF,1,100,0.4825
1729244949.577493,324489.000,46720,1,SF,1,100,0.4769
1729244949.910491,324822.000,46768,1,SF,1,100,0.4714
1729244950.244490,325156.000,46824,1,SF,1,100,0.4660
1729244950.510489,325422.000,46874,1,SF,1,100,0.4606
1729244950.844487,325756.000,46924,1,SF,1,100,0.4553
1729244951.177485,326089.000,46973,1,SF,1,100,0.4500
1729244951.577483,326489.000,47038,1,SF,1,100,0.4448
1729244951.844482,326756.000,47089,1,SF,1,100,0.4396
1729244952.177480,327089.000,47137,1,SF,1,100,0.4346
1729244952.643478,327555.000,47206,1,SF,1,100,0.4295
1729244952.843477,327755.000,47239,1,SF,1,100,0.4246
1729244953.177476,328089.000,47289,1,SF,1,100,0.4196
1729244953.577474,328489.000,47358,1,SF,1,100,0.4148
1729244953.843472,328755.000,47406,1,SF,1,100,0.4100
1729244954.177471,329089.000,47455,1,SF,1,100,0.4052
1729244954.577469,329489.000,47522,1,SF,1,100,0.4006
1729244954.843467,329755.000,47572,1,SF,1,100,0.3959
1729244955.243466,330155.000,47626,1,SF,1,100,0.3913
1729244955.510464,330422.000,47678,1,SF,1,100,0.3868
1729244955.843463,330755.000,47726,1,SF,1,100,0.3823
1729244956.177461,331089.000,47775,1,SF,1,100,0.3779
1729244956.577459,331489.000,47842,1,SF,1,100,0.3736
1729244956.843458,331755.000,47892,1,SF,1,100,0.3692
1729244957.176456,332088.000,47943,1,SF,1,100,0.3650
1729244957.576454,332488.000,48008,1,SF,1,100,0.3607
1729244957.910453,332822.000,48056,1,SF,1,100,0.3566
1729244958.176451,333088.000,48109,1,SF,1,100,0.3524
1729244958.510450,333422.000,48159,1,SF,1,100,0.3484
1729244958.910448,333822.000,48224,1,SF,1,100,0.3443
1729244959.176447,334088.000,48275,1,SF,1,100,0.3403
1729244959.509445,334421.000,48324,1,SF,1,100,0.3364
1729244959.843443,334755.000,48376,1,SF,1,100,0.3325
1729244960.243442,335155.000,48446,1,SF,1,100,0.3287
1729244960.576440,335488.000,48495,1,SF,1,100,0.3249
1729244960.909438,335821.000,48545,1,SF,1,100,0.3211
1729244961.176437,336088.000,48595,1,SF,1,100,0.3174
1729244961.509435,336421.000,48644,1,SF,1,100,0.3137
1729244961.909433,336821.000,48711,1,SF,1,100,0.3101
1729244962.176432,337088.000,48761,1,SF,1,100,0.3065
1729244962.509430,337421.000,48810,1,SF,1,100,0.3030
1729244962.842429,337754.000,48860,1,SF,1,100,0.2995
1729244963.242427,338154.000,48927,1,SF,1,100,0.2960
1729244963.509426,338421.000,48978,1,SF,1,100,0.2926
1729244963.842424,338754.000,49028,1,SF,1,100,0.2892
1729244964.242422,339154.000,49093,1,SF,1,100,0.2858
1729244964.509421,339421.000,49142,1,SF,1,100,0.2825
1729244964.842419,339754.000,49194,1,SF,1,100,0.2793
1729244965.176418,340088.000,49245,1,SF,1,100,0.2760
1729244965.509416,340421.000,49298,1,SF,1,100,0.2728
1729244965.909414,340821.000,49364,1,SF,1,100,0.2697
1729244966.242413,341154.000,49416,1,SF,1,100,0.2666
1729244966.509411,341421.000,49464,1,SF,1,100,0.2635
1729244966.842410,341754.000,49513,1,SF,1,100,0.2604
1729244967.242408,342154.000,49580,1,SF,1,100,0.2574
1729244967.509406,342421.000,49630,1,SF,1,100,0.2544
1729244967.842405,342754.000,49681,1,SF,1,100,0.2515
1729244968.175403,343087.000,49729,1,SF,1,100,0.2486
1729244968.575401,343487.000,49798,1,SF,1,100,0.2457
1729244968.842400,343754.000,49849,1,SF,1,100,0.2429
1729244969.175398,344087.000,49897,1,SF,1,100,0.2401
1729244969.575396,344487.000,49962,1,SF,1,100,0.2373
1729244969.842395,344754.000,50013,1,SF,1,100,0.2345
1729244970.175393,345087.000,50064,1,SF,1,100,0.2318
1729244970.508392,345420.000,50119,1,SF,1,100,0.2291
1729244970.842390,345754.000,50167,1,SF,1,100,0.2265
1729244971.242388,346154.000,50232,1,SF,1,100,0.2239
1729244971.508387,346420.000,50285,1,SF,1,100,0.2213
1729244971.842385,346754.000,50333,1,SF,1,100,0.2187
1729244972.175384,347087.000,50384,1,SF,1,100,0.2162
1729244972.575382,347487.000,50449,1,SF,1,100,0.2137
1729244972.841381,347753.000,50499,1,SF,1,100,0.2112
1729244973.175379,348087.000,50550,1,SF,1,100,0.2088
1729244973.575377,348487.000,50617,1,SF,1,100,0.2064
1729244973.841376,348753.000,50667,1,SF,1,100,0.2040
1729244974.175374,349087.000,50722,1,SF,1,100,2.2839
1729244974.508373,349420.000,50770,1,SF,1,100,2.2575
1729244974.908370,349820.000,50837,1,SF,1,100,2.2313
1729244975.175369,350087.000,50886,1,SF,1,100,2.2055
1729244975.508368,350420.000,50934,1,SF,1,100,2.1800
1729244975.841366,350753.000,50989,1,SF,1,100,2.1548
1729244976.175364,351087.000,51040,1,SF,1,100,2.1299
1729244976.508363,351420.000,51090,1,SF,1,100,2.1052
1729244976.908361,351820.000,51157,1,SF,1,100,2.0809
1729244977.174360,352086.000,51205,1,SF,1,100,2.0568
1729244977.508358,352420.000,51254,1,SF,1,100,2.0330
1729244977.908356,352820.000,51321,1,SF,1,100,2.0095
1729244978.174355,353086.000,51371,1,SF,1,100,1.9862
1729244978.508353,353420.000,51422,1,SF,1,100,1.9633
1729244978.841352,353753.000,51472,1,SF,1,100,1.9406
1729244979.241350,354153.000,51537,1,SF,1,100,1.9181
1729244979.508348,354420.000,51588,1,SF,1,100,1.8959
1729244979.841347,354753.000,51638,1,SF,1,100,1.8740
1729244980.174345,355086.000,51687,1,SF,1,100,1.8523
1729244980.574343,355486.000,51754,1,SF,1,100,1.8309
1729244980.907341,355819.000,51811,1,SF,1,100,1.8097
1729244981.241340,356153.000,51860,1,SF,1,100,1.7888
1729244981.507339,356419.000,51910,1,SF,1,100,1.7681
1729244981.841337,356753.000,51959,1,SF,1,100,1.7476
1729244982.241335,357153.000,52024,1,SF,1,100,1.7274
1729244982.507334,357419.000,52072,1,SF,1,100,1.7074
1729244982.840332,357752.000,52121,1,SF,1,100,1.6877
1729244983.174331,358086.000,52171,1,SF,1,100,1.6681
1729244983.574329,358486.000,52238,1,SF,1,100,1.6488
1729244983.840328,358752.000,52289,1,SF,1,100,1.6298
