LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244936.445556,311357.000,44588,1,EL,1,100,-18897.800781
1729244936.512056,311423.500,44603,2,EL,1,100,-18898.000000
1729244936.578556,311490.000,44603,2,EL,1,100,-18897.800781
1729244936.645555,311557.000,44622,1,EL,1,100,-18897.800781
1729244936.712055,311623.500,44638,2,EL,1,100,-18898.000000
1729244936.778555,311690.000,44638,2,EL,1,100,-18898.000000
1729244936.845555,311757.000,44656,1,EL,1,100,-18898.000000
1729244936.912054,311823.500,44670,2,EL,1,100,-18897.800781
1729244936.978554,311890.000,44670,2,EL,1,100,-18898.000000
1729244937.045554,311957.000,44687,1,EL,1,100,-18898.000000
1729244937.112053,312023.500,44704,2,EL,1,100,-18898.000000
1729244937.178553,312090.000,44704,2,EL,1,100,-18898.000000
1729244937.245553,312157.000,44721,1,EL,1,100,-18898.000000
1729244937.312052,312223.500,44735,2,EL,1,100,-18898.000000
1729244937.378552,312290.000,44735,2,EL,1,100,-18898.000000
1729244937.445552,312357.000,44752,1,EL,1,100,-18898.199219
1729244937.512051,312423.500,44769,2,EL,1,100,-18898.000000
1729244937.578551,312490.000,44769,2,EL,1,100,-18898.199219
1729244937.645551,312557.000,44788,1,EL,1,100,-18898.800781
1729244937.712050,312623.500,44803,2,EL,1,100,-18898.800781
1729244937.778550,312690.000,44803,2,EL,1,100,-18898.599609
1729244937.845550,312757.000,44820,1,EL,1,100,-18899.000000
1729244937.912050,312823.500,44836,2,EL,1,100,-18899.000000
1729244937.978549,312890.000,44836,2,EL,1,100,-18899.000000
1729244938.045549,312957.000,44853,2,EL,1,100,-18899.000000
1729244938.112548,313024.000,44853,2,EL,1,100,-18899.000000
1729244938.178548,313090.000,44870,1,EL,1,100,-18899.000000
1729244938.245548,313157.000,44887,2,EL,1,100,-18899.800781
1729244938.312547,313224.000,44887,2,EL,1,100,-18899.800781
1729244938.378547,313290.000,44903,1,EL,1,100,-18899.800781
1729244938.445547,313357.000,44921,2,EL,1,100,-18900.199219
1729244938.512547,313424.000,44921,2,EL,1,100,-18900.000000
1729244938.578546,313490.000,44939,1,EL,1,100,-18900.000000
1729244938.645546,313557.000,44954,2,EL,1,100,-18901.000000
1729244938.712546,313624.000,44954,2,EL,1,100,-18900.800781
1729244938.778545,313690.000,44970,1,EL,1,100,-18900.800781
1729244938.845545,313757.000,44988,2,EL,1,100,-18901.000000
1729244938.912544,313824.000,44988,2,EL,1,100,-18901.199219
1729244938.978544,313890.000,45004,1,EL,1,100,-18901.199219
1729244939.045044,313956.500,45020,2,EL,1,100,-18902.000000
1729244939.111544,314023.000,45020,2,EL,1,100,-18902.000000
1729244939.178543,314090.000,45038,1,EL,1,100,-18902.000000
1729244939.245543,314157.000,45055,2,EL,1,100,-18902.599609
1729244939.312543,314224.000,45055,2,EL,1,100,-18902.199219
1729244939.378542,314290.000,45071,1,EL,1,100,-18903.000000
1729244939.445042,314356.500,45088,2,EL,1,100,-18902.800781
1729244939.511542,314423.000,45088,2,EL,1,100,-18903.199219
1729244939.578541,314490.000,45103,2,EL,1,100,-18903.199219
1729244939.645541,314557.000,45103,2,EL,1,100,-18903.599609
