LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1729244893.544764,268456.000,37635,4,GX,1,100,-0.458
1729244893.584764,268496.000,37635,4,GX,1,100,-0.397
1729244893.624763,268536.000,37650,2,GX,1,100,-0.458
1729244893.664763,268576.000,37650,2,GX,1,100,-0.488
1729244893.704763,268616.000,37666,3,GX,1,100,-0.427
1729244893.744763,268656.000,37666,3,GX,1,100,-0.488
1729244893.784763,268696.000,37666,3,GX,1,100,-0.427
1729244893.831763,268743.000,37686,2,GX,1,100,-0.488
1729244893.878762,268790.000,37686,2,GX,1,100,-0.458
1729244893.918762,268830.000,37702,3,GX,1,100,-0.397
1729244893.958762,268870.000,37702,3,GX,1,100,-0.458
1729244893.998762,268910.000,37702,3,GX,1,100,-0.458
1729244894.038762,268950.000,37717,2,GX,1,100,-0.488
1729244894.078761,268990.000,37717,2,GX,1,100,-0.397
1729244894.118761,269030.000,37734,3,GX,1,100,-0.336
1729244894.158761,269070.000,37734,3,GX,1,100,-0.397
1729244894.198761,269110.000,37734,3,GX,1,100,-0.458
1729244894.238760,269150.000,37751,2,GX,1,100,-0.458
1729244894.278760,269190.000,37751,2,GX,1,100,-0.366
1729244894.318760,269230.000,37767,3,GX,1,100,-0.397
1729244894.358760,269270.000,37767,3,GX,1,100,-0.397
1729244894.398760,269310.000,37767,3,GX,1,100,-0.427
1729244894.438760,269350.000,37783,2,GX,1,100,-0.366
1729244894.478759,269390.000,37783,2,GX,1,100,-0.336
1729244894.518759,269430.000,37799,3,GX,1,100,-0.397
1729244894.558759,269470.000,37799,3,GX,1,100,-0.488
1729244894.598759,269510.000,37799,3,GX,1,100,-0.488
1729244894.638759,269550.000,37816,2,GX,1,100,-0.397
1729244894.678758,269590.000,37816,2,GX,1,100,-0.336
1729244894.718758,269630.000,37832,3,GX,1,100,-0.336
1729244894.758758,269670.000,37832,3,GX,1,100,-0.366
1729244894.798758,269710.000,37832,3,GX,1,100,-0.366
1729244894.838424,269749.667,37850,3,GX,1,100,-0.397
1729244894.878091,269789.333,37850,3,GX,1,100,-0.305
1729244894.917757,269829.000,37850,3,GX,1,100,-0.427
1729244894.957757,269869.000,37864,2,GX,1,100,-0.397
1729244894.997757,269909.000,37864,2,GX,1,100,-0.366
1729244895.037757,269949.000,37883,3,GX,1,100,-0.427
1729244895.077756,269989.000,37883,3,GX,1,100,-0.458
1729244895.117756,270029.000,37883,3,GX,1,100,-0.397
1729244895.157756,270069.000,37900,2,GX,1,100,-0.397
1729244895.197756,270109.000,37900,2,GX,1,100,-0.366
1729244895.237756,270149.000,37917,3,GX,1,100,-0.336
1729244895.277755,270189.000,37917,3,GX,1,100,-0.427
1729244895.317755,270229.000,37917,3,GX,1,100,-0.427
1729244895.357755,270269.000,37931,2,GX,1,100,-0.427
1729244895.397755,270309.000,37931,2,GX,1,100,-0.427
1729244895.437755,270349.000,37949,3,GX,1,100,-0.305
1729244895.477755,270389.000,37949,3,GX,1,100,-0.336
1729244895.517754,270429.000,37949,3,GX,1,100,-0.427
1729244895.557754,270469.000,37965,2,GX,1,100,-0.519
1729244895.597754,270509.000,37965,2,GX,1,100,-0.397
1729244895.637754,270549.000,37982,3,GX,1,100,-0.488
1729244895.677754,270589.000,37982,3,GX,1,100,-0.366
1729244895.717753,270629.000,37982,3,GX,1,100,-0.366
1729244895.757753,270669.000,37996,2,GX,1,100,-0.397
1729244895.797753,270709.000,37996,2,GX,1,100,-0.305
1729244895.837753,270749.000,38014,3,GX,1,100,-0.366
1729244895.877753,270789.000,38014,3,GX,1,100,-0.397
1729244895.917753,270829.000,38014,3,GX,1,100,-0.427
1729244895.964252,270875.500,38030,2,GX,1,100,-0.336
1729244896.010752,270922.000,38030,2,GX,1,100,-0.366
1729244896.050752,270962.000,38047,3,GX,1,100,-0.427
1729244896.090752,271002.000,38047,3,GX,1,100,-0.427
1729244896.130751,271042.000,38047,3,GX,1,100,-0.305
1729244896.170751,271082.000,38064,2,GX,1,100,-0.366
1729244896.210751,271122.000,38064,2,GX,1,100,-0.275
1729244896.250751,271162.000,38081,3,GX,1,100,-0.305
1729244896.290751,271202.000,38081,3,GX,1,100,-0.366
1729244896.330750,271242.000,38081,3,GX,1,100,-0.366
1729244896.370750,271282.000,38097,2,GX,1,100,-0.397
1729244896.410750,271322.000,38097,2,GX,1,100,-0.397
1729244896.450750,271362.000,38115,3,GX,1,100,-0.336
1729244896.490750,271402.000,38115,3,GX,1,100,-0.336
1729244896.530750,271442.000,38115,3,GX,1,100,-0.397
1729244896.570749,271482.000,38130,2,GX,1,100,-0.397
1729244896.610749,271522.000,38130,2,GX,1,100,-0.397
1729244896.651082,271562.333,38148,3,GX,1,100,-0.397
1729244896.691415,271602.667,38148,3,GX,1,100,-0.397
1729244896.731749,271643.000,38148,3,GX,1,100,-0.427
1729244896.771415,271682.667,38165,3,GX,1,100,-0.366
1729244896.811081,271722.333,38165,3,GX,1,100,-0.366
1729244896.850748,271762.000,38165,3,GX,1,100,-0.427
1729244896.890748,271802.000,38182,2,GX,1,100,-0.427
1729244896.930748,271842.000,38182,2,GX,1,100,-0.427
1729244896.970747,271882.000,38198,3,GX,1,100,-0.397
1729244897.010747,271922.000,38198,3,GX,1,100,-0.458
1729244897.050747,271962.000,38198,3,GX,1,100,-0.427
1729244897.090747,272002.000,38213,2,GX,1,100,-0.427
1729244897.130747,272042.000,38213,2,GX,1,100,-0.397
1729244897.170746,272082.000,38230,3,GX,1,100,-0.366
1729244897.210746,272122.000,38230,3,GX,1,100,-0.427
1729244897.250746,272162.000,38230,3,GX,1,100,-0.458
1729244897.290746,272202.000,38247,2,GX,1,100,-0.458
1729244897.330746,272242.000,38247,2,GX,1,100,-0.427
1729244897.370745,272282.000,38263,3,GX,1,100,-0.427
1729244897.410745,272322.000,38263,3,GX,1,100,-0.427
1729244897.450745,272362.000,38263,3,GX,1,100,-0.397
1729244897.490745,272402.000,38279,2,GX,1,100,-0.427
1729244897.530745,272442.000,38279,2,GX,1,100,-0.458
1729244897.570745,272482.000,38295,3,GX,1,100,-0.458
1729244897.610744,272522.000,38295,3,GX,1,100,-0.458
1729244897.650744,272562.000,38295,3,GX,1,100,-0.458
1729244897.690744,272602.000,38314,2,GX,1,100,-0.427
1729244897.730744,272642.000,38314,2,GX,1,100,-0.427
1729244897.770743,272682.000,38331,3,GX,1,100,-0.427
1729244897.810743,272722.000,38331,3,GX,1,100,-0.427
1729244897.850743,272762.000,38331,3,GX,1,100,-0.397
1729244897.890743,272802.000,38346,2,GX,1,100,-0.427
1729244897.930743,272842.000,38346,2,GX,1,100,-0.427
1729244897.975409,272886.667,38362,3,GX,1,100,-0.366
1729244898.020076,272931.333,38362,3,GX,1,100,-0.397
1729244898.064742,272976.000,38362,3,GX,1,100,-0.366
1729244898.104742,273016.000,38379,2,GX,1,100,-0.427
1729244898.144742,273056.000,38379,2,GX,1,100,-0.427
1729244898.184741,273096.000,38398,3,GX,1,100,-0.427
1729244898.224741,273136.000,38398,3,GX,1,100,-0.397
1729244898.264741,273176.000,38398,3,GX,1,100,-0.397
1729244898.304741,273216.000,38413,2,GX,1,100,-0.427
1729244898.344741,273256.000,38413,2,GX,1,100,-0.427
1729244898.384741,273296.000,38429,3,GX,1,100,-0.397
1729244898.424740,273336.000,38429,3,GX,1,100,-0.366
1729244898.464740,273376.000,38429,3,GX,1,100,-0.366
1729244898.504740,273416.000,38447,2,GX,1,100,-0.397
1729244898.544740,273456.000,38447,2,GX,1,100,-0.427
1729244898.584739,273496.000,38468,4,GX,1,100,-0.458
1729244898.624739,273536.000,38468,4,GX,1,100,-0.397
1729244898.664739,273576.000,38468,4,GX,1,100,-0.397
1729244898.704739,273616.000,38468,4,GX,1,100,-0.427
1729244898.744739,273656.000,38485,3,GX,1,100,-0.397
1729244898.784739,273696.000,38485,3,GX,1,100,-0.366
1729244898.824739,273736.000,38485,3,GX,1,100,-0.427
1729244898.864738,273776.000,38502,2,GX,1,100,-0.366
1729244898.904738,273816.000,38502,2,GX,1,100,-0.397
1729244898.944738,273856.000,38519,3,GX,1,100,-0.397
1729244898.984738,273896.000,38519,3,GX,1,100,-0.397
1729244899.024737,273936.000,38519,3,GX,1,100,-0.458
1729244899.064737,273976.000,38535,2,GX,1,100,-0.458
1729244899.104737,274016.000,38535,2,GX,1,100,-0.427
1729244899.144737,274056.000,38553,3,GX,1,100,-0.427
1729244899.184737,274096.000,38553,3,GX,1,100,-0.397
1729244899.224736,274136.000,38553,3,GX,1,100,-0.427
1729244899.264736,274176.000,38569,2,GX,1,100,-0.427
1729244899.304736,274216.000,38569,2,GX,1,100,-0.366
1729244899.344736,274256.000,38584,3,GX,1,100,-0.366
1729244899.384736,274296.000,38584,3,GX,1,100,-0.397
1729244899.424736,274336.000,38584,3,GX,1,100,-0.397
1729244899.464735,274376.000,38601,2,GX,1,100,-0.427
1729244899.504735,274416.000,38601,2,GX,1,100,-0.366
1729244899.544735,274456.000,38618,3,GX,1,100,-0.427
1729244899.584735,274496.000,38618,3,GX,1,100,-0.397
1729244899.624735,274536.000,38618,3,GX,1,100,-0.397
1729244899.664734,274576.000,38634,2,GX,1,100,-0.336
1729244899.704734,274616.000,38634,2,GX,1,100,-0.397
1729244899.744734,274656.000,38650,3,GX,1,100,-0.427
1729244899.784734,274696.000,38650,3,GX,1,100,-0.366
1729244899.824733,274736.000,38650,3,GX,1,100,-0.366
1729244899.864733,274776.000,38666,3,GX,1,100,-0.397
1729244899.904733,274816.000,38666,3,GX,1,100,-0.366
1729244899.944733,274856.000,38666,3,GX,1,100,-0.397
1729244899.984733,274896.000,38683,2,GX,1,100,-0.397
1729244900.024733,274936.000,38683,2,GX,1,100,-0.427
1729244900.064732,274976.000,38699,2,GX,1,100,-0.427
1729244900.104732,275016.000,38699,2,GX,1,100,-0.397
1729244900.149065,275060.333,38717,3,GX,1,100,-0.427
1729244900.193398,275104.667,38717,3,GX,1,100,-0.427
1729244900.237731,275149.000,38717,3,GX,1,100,-0.427
1729244900.277731,275189.000,38733,2,GX,1,100,-0.397
1729244900.317731,275229.000,38733,2,GX,1,100,-0.458
1729244900.357731,275269.000,38750,3,GX,1,100,-0.397
1729244900.397731,275309.000,38750,3,GX,1,100,-0.336
1729244900.437731,275349.000,38750,3,GX,1,100,-0.427
1729244900.477731,275389.000,38767,3,GX,1,100,-0.397
1729244900.517730,275429.000,38767,3,GX,1,100,-0.458
1729244900.557730,275469.000,38767,3,GX,1,100,-0.397
1729244900.597730,275509.000,38784,2,GX,1,100,-0.397
1729244900.637730,275549.000,38784,2,GX,1,100,-0.427
1729244900.677729,275589.000,38798,3,GX,1,100,-0.427
1729244900.717729,275629.000,38798,3,GX,1,100,-0.458
1729244900.757729,275669.000,38798,3,GX,1,100,-0.397
1729244900.797729,275709.000,38816,2,GX,1,100,-0.366
1729244900.837729,275749.000,38816,2,GX,1,100,-0.427
1729244900.877728,275789.000,38832,3,GX,1,100,-0.427
1729244900.917728,275829.000,38832,3,GX,1,100,-0.458
1729244900.957728,275869.000,38832,3,GX,1,100,-0.458
1729244900.997728,275909.000,38851,2,GX,1,100,-0.397
1729244901.037728,275949.000,38851,2,GX,1,100,-0.336
1729244901.077728,275989.000,38865,3,GX,1,100,-0.427
1729244901.117727,276029.000,38865,3,GX,1,100,-0.397
1729244901.157727,276069.000,38865,3,GX,1,100,-0.427
1729244901.197727,276109.000,38883,2,GX,1,100,-0.366
1729244901.237727,276149.000,38883,2,GX,1,100,-0.397
1729244901.277727,276189.000,38899,3,GX,1,100,-0.427
1729244901.317726,276229.000,38899,3,GX,1,100,-0.427
1729244901.357726,276269.000,38899,3,GX,1,100,-0.458
1729244901.397726,276309.000,38916,2,GX,1,100,-0.427
1729244901.437726,276349.000,38916,2,GX,1,100,-0.427
1729244901.477726,276389.000,38931,3,GX,1,100,-0.427
1729244901.517725,276429.000,38931,3,GX,1,100,-0.397
1729244901.557725,276469.000,38931,3,GX,1,100,-0.427
1729244901.597725,276509.000,38948,3,GX,1,100,-0.427
