LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1729244891.051776,265963.000,37232,3,MY,1,100,-3
1729244891.091776,266003.000,37232,3,MY,1,100,-3
1729244891.131776,266043.000,37252,2,MY,1,100,-2
1729244891.171775,266083.000,37252,2,MY,1,100,-3
1729244891.211775,266123.000,37266,3,MY,1,100,-4
1729244891.251775,266163.000,37266,3,MY,1,100,-3
1729244891.291775,266203.000,37266,3,MY,1,100,-3
1729244891.331775,266243.000,37283,3,MY,1,100,-2
1729244891.371774,266283.000,37283,3,MY,1,100,-3
1729244891.411774,266323.000,37283,3,MY,1,100,-3
1729244891.451774,266363.000,37299,2,MY,1,100,-2
1729244891.491774,266403.000,37299,2,MY,1,100,-2
1729244891.531774,266443.000,37317,3,MY,1,100,-2
1729244891.571774,266483.000,37317,3,MY,1,100,-2
1729244891.611773,266523.000,37317,3,MY,1,100,-3
1729244891.651773,266563.000,37332,2,MY,1,100,-2
1729244891.691773,266603.000,37332,2,MY,1,100,-2
1729244891.738273,266649.500,37348,2,MY,1,100,-2
1729244891.784772,266696.000,37348,2,MY,1,100,-2
1729244891.824772,266736.000,37367,3,MY,1,100,-3
1729244891.864772,266776.000,37367,3,MY,1,100,-2
1729244891.904772,266816.000,37367,3,MY,1,100,-2
1729244891.944772,266856.000,37384,2,MY,1,100,-1
1729244891.984771,266896.000,37384,2,MY,1,100,-3
1729244892.024771,266936.000,37400,3,MY,1,100,-3
1729244892.064771,266976.000,37400,3,MY,1,100,-2
1729244892.104771,267016.000,37400,3,MY,1,100,-2
1729244892.144771,267056.000,37418,2,MY,1,100,-2
1729244892.184771,267096.000,37418,2,MY,1,100,-4
1729244892.224770,267136.000,37434,3,MY,1,100,-3
1729244892.264770,267176.000,37434,3,MY,1,100,-3
1729244892.304770,267216.000,37434,3,MY,1,100,-2
1729244892.344770,267256.000,37451,3,MY,1,100,-2
1729244892.384769,267296.000,37451,3,MY,1,100,-2
1729244892.424769,267336.000,37451,3,MY,1,100,-2
1729244892.464769,267376.000,37468,2,MY,1,100,-2
1729244892.504769,267416.000,37468,2,MY,1,100,-4
1729244892.544769,267456.000,37483,3,MY,1,100,-2
1729244892.584769,267496.000,37483,3,MY,1,100,-3
1729244892.624768,267536.000,37483,3,MY,1,100,-3
1729244892.664768,267576.000,37499,2,MY,1,100,-2
1729244892.704768,267616.000,37499,2,MY,1,100,-3
1729244892.745101,267656.333,37516,3,MY,1,100,-2
1729244892.785434,267696.667,37516,3,MY,1,100,-2
1729244892.825767,267737.000,37516,3,MY,1,100,-3
1729244892.865267,267776.500,37533,2,MY,1,100,-2
1729244892.904767,267816.000,37533,2,MY,1,100,-3
1729244892.944767,267856.000,37550,3,MY,1,100,-2
1729244892.984767,267896.000,37550,3,MY,1,100,-2
