LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1713787999.164011,125520.000,18598,3,PR,1,100,132423
1713787999.204011,125560.000,18615,2,PR,1,100,132435
1713787999.244012,125600.000,18615,2,PR,1,100,132453
1713787999.284012,125640.000,18632,3,PR,1,100,132449
1713787999.324013,125680.000,18632,3,PR,1,100,132446
1713787999.364013,125720.000,18632,3,PR,1,100,132463
1713787999.404014,125760.000,18646,2,PR,1,100,132486
1713787999.444014,125800.000,18646,2,PR,1,100,132471
1713787999.484015,125840.000,18663,3,PR,1,100,132469
1713787999.524015,125880.000,18663,3,PR,1,100,132462
1713787999.564016,125920.000,18663,3,PR,1,100,132452
1713787999.604016,125960.000,18680,2,PR,1,100,132438
1713787999.644017,126000.000,18680,2,PR,1,100,132449
1713787999.684017,126040.000,18697,3,PR,1,100,132441
1713787999.724018,126080.000,18697,3,PR,1,100,132430
1713787999.764018,126120.000,18697,3,PR,1,100,132432
1713787999.804019,126160.000,18711,2,PR,1,100,132431
1713787999.844019,126200.000,18711,2,PR,1,100,132434
1713787999.884020,126240.000,18729,3,PR,1,100,132435
1713787999.924020,126280.000,18729,3,PR,1,100,132450
1713787999.964021,126320.000,18729,3,PR,1,100,132445
1713788000.004021,126360.000,18747,3,PR,1,100,132436
1713788000.044022,126400.000,18747,3,PR,1,100,132464
1713788000.084022,126440.000,18747,3,PR,1,100,132481
1713788000.124023,126480.000,18764,2,PR,1,100,132494
1713788000.164023,126520.000,18764,2,PR,1,100,132494
1713788000.204024,126560.000,18780,3,PR,1,100,132505
1713788000.244024,126600.000,18780,3,PR,1,100,132493
1713788000.284025,126640.000,18780,3,PR,1,100,132500
1713788000.324025,126680.000,18798,2,PR,1,100,132512
1713788000.364026,126720.000,18798,2,PR,1,100,132507
1713788000.404027,126760.000,18814,3,PR,1,100,132494
1713788000.444027,126800.000,18814,3,PR,1,100,132489
1713788000.484027,126840.000,18814,3,PR,1,100,132473
1713788000.524028,126880.000,18832,2,PR,1,100,132482
1713788000.564029,126920.000,18832,2,PR,1,100,132479
1713788000.604029,126960.000,18848,3,PR,1,100,132481
