LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1713788159.176063,285530,44837,1,SR,1,100,0.066667
1713788159.509068,285863,44904,1,SR,1,100,0.133333
1713788160.176076,286530,45076,1,SR,1,100,0.400000
1713788160.709083,287063,45111,1,SR,1,100,0.133333
1713788160.976086,287330,45217,1,SR,1,100,0.466667
1713788161.575094,287929,45253,1,SR,1,100,0.066667
1713788162.175102,288529,45354,1,SR,1,100,0.133333
1713788162.442105,288796,45389,1,SR,1,100,0.066667
1713788162.909111,289263,45491,1,SR,1,100,0.133333
1713788163.443118,289797,45640,1,SR,1,100,0.533333
1713788164.375130,290729,45959,1,SR,1,100,1.600000
1713788166.108152,292462,45992,1,SR,1,100,0.066667
1713788169.908201,296262,46796,1,SR,1,100,1.200000
1713788173.508247,299862,47299,1,SR,1,100,0.666667
1713788174.308258,300662,47335,1,SR,1,100,0.133333
1713788178.241308,304595,48007,1,SR,1,100,0.333333
1713788178.707314,305061,48143,1,SR,1,100,0.666667
1713788182.707365,309061,48761,1,SR,1,100,0.400000
1713788183.240372,309594,48812,1,SR,1,100,0.200000
1713788183.707378,310061,48863,1,SR,1,100,0.066667
1713788184.573389,310927,49212,1,SR,1,100,1.266667
1713788187.640429,313994,49666,1,SR,1,100,1.066667
1713788189.107447,315461,49769,1,SR,1,100,0.200000
1713788194.040511,320394,50649,1,SR,1,100,0.666667
1713788195.905535,322259,50868,1,SR,1,100,0.066667
1713788196.573543,322927,51001,1,SR,1,100,0.266667
1713788197.372553,323726,51107,1,SR,1,100,0.066667
1713788199.505581,325859,51455,1,SR,1,100,0.066667
1713788199.705583,326059,51489,1,SR,1,100,0.066667
1713788199.905586,326259,51508,1,SR,1,100,0.066667
1713788200.105588,326459,51577,1,SR,1,100,0.266667
1713788200.638595,326992,51676,1,SR,1,100,0.333333
1713788201.105601,327459,51777,1,SR,1,100,0.466667
1713788201.972612,328326,51883,1,SR,1,100,0.266667
1713788202.371618,328725,51916,1,SR,1,100,0.066667
1713788202.571620,328925,51984,1,SR,1,100,0.266667
1713788205.304655,331658,52404,1,SR,1,100,0.066667
1713788205.571659,331925,52490,1,SR,1,100,0.333333
1713788206.038665,332392,52573,1,SR,1,100,0.333333
1713788206.638672,332992,52624,1,SR,1,100,0.066667
1713788206.838675,333192,52658,1,SR,1,100,0.133333
1713788207.371682,333725,52916,1,SR,1,100,1.200000
1713788208.704699,335058,52983,1,SR,1,100,0.200000
1713788209.037703,335391,53199,1,SR,1,100,1.266667
1713788217.571813,343925,54486,1,SR,1,100,0.600000
1713788218.436824,344790,54604,1,SR,1,100,0.400000
1713788218.970830,345324,54737,1,SR,1,100,0.666667
1713788219.770841,346124,54772,1,SR,1,100,0.133333
1713788223.903894,350257,55438,1,SR,1,100,0.133333
