LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1713793801.487463,303925.000,47425,1,EA,1,100,0.030223
1713793801.553964,303991.500,47442,2,EA,1,100,0.030223
1713793801.620465,304058.000,47442,2,EA,1,100,0.030223
1713793801.687466,304125.000,47459,1,EA,1,100,0.030223
1713793801.753967,304191.500,47474,2,EA,1,100,0.030223
1713793801.820468,304258.000,47474,2,EA,1,100,0.030223
1713793801.886969,304324.500,47493,2,EA,1,100,0.030223
1713793801.953470,304391.000,47493,2,EA,1,100,0.030223
1713793802.020471,304458.000,47509,1,EA,1,100,0.030223
1713793802.086972,304524.500,47526,2,EA,1,100,0.030224
1713793802.153473,304591.000,47526,2,EA,1,100,0.030224
1713793802.220474,304658.000,47542,1,EA,1,100,0.030223
1713793802.286975,304724.500,47560,2,EA,1,100,0.030224
1713793802.353476,304791.000,47560,2,EA,1,100,0.030224
1713793802.420477,304858.000,47576,1,EA,1,100,0.030223
1713793802.486978,304924.500,47593,2,EA,1,100,0.030224
1713793802.553479,304991.000,47593,2,EA,1,100,0.030223
1713793802.620480,305058.000,47610,1,EA,1,100,0.030223
1713793802.686981,305124.500,47627,2,EA,1,100,0.030223
1713793802.753482,305191.000,47627,2,EA,1,100,0.030223
1713793802.820483,305258.000,47643,1,EA,1,100,0.030223
1713793802.886984,305324.500,47661,2,EA,1,100,0.030223
1713793802.953485,305391.000,47661,2,EA,1,100,0.030223
1713793803.020486,305458.000,47677,1,EA,1,100,0.030223
1713793803.086987,305524.500,47694,2,EA,1,100,0.030223
1713793803.153488,305591.000,47694,2,EA,1,100,0.030223
1713793803.220489,305658.000,47710,1,EA,1,100,0.030223
1713793803.286990,305724.500,47728,2,EA,1,100,0.030224
1713793803.353491,305791.000,47728,2,EA,1,100,0.030224
1713793803.420492,305858.000,47744,1,EA,1,100,0.030224
1713793803.486993,305924.500,47759,2,EA,1,100,0.030224
1713793803.553494,305991.000,47759,2,EA,1,100,0.030224
1713793803.620495,306058.000,47778,1,EA,1,100,0.030224
1713793803.686996,306124.500,47795,2,EA,1,100,0.030224
1713793803.753497,306191.000,47795,2,EA,1,100,0.030224
1713793803.820498,306258.000,47811,1,EA,1,100,0.030224
1713793803.886999,306324.500,47828,2,EA,1,100,0.030224
1713793803.953500,306391.000,47828,2,EA,1,100,0.030224
1713793804.020001,306457.500,47845,2,EA,1,100,0.030224
1713793804.086502,306524.000,47845,2,EA,1,100,0.030224
1713793804.153502,306591.000,47862,1,EA,1,100,0.030224
1713793804.220004,306657.500,47885,2,EA,1,100,0.030224
1713793804.286505,306724.000,47885,2,EA,1,100,0.030224
1713793804.353506,306791.000,47901,2,EA,1,100,0.030224
1713793804.420506,306858.000,47901,2,EA,1,100,0.030224
1713793804.486507,306924.000,47918,1,EA,1,100,0.030224
1713793804.553509,306991.000,47933,2,EA,1,100,0.030224
1713793804.620509,307058.000,47933,2,EA,1,100,0.030224
1713793804.686511,307124.000,47950,1,EA,1,100,0.030224
1713793804.753511,307191.000,47968,2,EA,1,100,0.030224
1713793804.820513,307258.000,47968,2,EA,1,100,0.030224
1713793804.886513,307324.000,47985,1,EA,1,100,0.030224
1713793804.953514,307391.000,48002,2,EA,1,100,0.030224
1713793805.020515,307458.000,48002,2,EA,1,100,0.030224
1713793805.087516,307525.000,48019,1,EA,1,100,0.030224
1713793805.154017,307591.500,48035,2,EA,1,100,0.030224
1713793805.220518,307658.000,48035,2,EA,1,100,0.030224
1713793805.286519,307724.000,48053,1,EA,1,100,0.030224
1713793805.353520,307791.000,48068,2,EA,1,100,0.030224
1713793805.420521,307858.000,48068,2,EA,1,100,0.030224
1713793805.487522,307925.000,48084,1,EA,1,100,0.030224
1713793805.554023,307991.500,48101,2,EA,1,100,0.030224
1713793805.620524,308058.000,48101,2,EA,1,100,0.030224
1713793805.687025,308124.500,48118,2,EA,1,100,0.030224
1713793805.753526,308191.000,48118,2,EA,1,100,0.030224
1713793805.820527,308258.000,48134,1,EA,1,100,0.030224
1713793805.887028,308324.500,48152,2,EA,1,100,0.030224
1713793805.953529,308391.000,48152,2,EA,1,100,0.030224
1713793806.020530,308458.000,48168,1,EA,1,100,0.030224
1713793806.087031,308524.500,48185,2,EA,1,100,0.030224
1713793806.153532,308591.000,48185,2,EA,1,100,0.030224
1713793806.220533,308658.000,48201,1,EA,1,100,0.030224
1713793806.287034,308724.500,48219,2,EA,1,100,0.030224
1713793806.353535,308791.000,48219,2,EA,1,100,0.030224
1713793806.420536,308858.000,48235,1,EA,1,100,0.030224
1713793806.487037,308924.500,48252,2,EA,1,100,0.030224
1713793806.553538,308991.000,48252,2,EA,1,100,0.030224
1713793806.620539,309058.000,48269,1,EA,1,100,0.030224
1713793806.687040,309124.500,48284,2,EA,1,100,0.030224
1713793806.753541,309191.000,48284,2,EA,1,100,0.030224
1713793806.819542,309257.000,48300,1,EA,1,100,0.030224
1713793806.886543,309324.000,48318,2,EA,1,100,0.030224
1713793806.953544,309391.000,48318,2,EA,1,100,0.030224
1713793807.020545,309458.000,48334,1,EA,1,100,0.030224
1713793807.087046,309524.500,48349,2,EA,1,100,0.030224
1713793807.153547,309591.000,48349,2,EA,1,100,0.030224
1713793807.220548,309658.000,48365,1,EA,1,100,0.030224
1713793807.287049,309724.500,48383,2,EA,1,100,0.030224
1713793807.353550,309791.000,48383,2,EA,1,100,0.030224
1713793807.420551,309858.000,48399,1,EA,1,100,0.030224
1713793807.487052,309924.500,48415,2,EA,1,100,0.030224
1713793807.553553,309991.000,48415,2,EA,1,100,0.030224
1713793807.620554,310058.000,48431,1,EA,1,100,0.030224
1713793807.687055,310124.500,48448,2,EA,1,100,0.030224
1713793807.753556,310191.000,48448,2,EA,1,100,0.030224
1713793807.820057,310257.500,48464,2,EA,1,100,0.030224
1713793807.886558,310324.000,48464,2,EA,1,100,0.030224
1713793807.953559,310391.000,48482,1,EA,1,100,0.030224
1713793808.020060,310457.500,48496,2,EA,1,100,0.030224
1713793808.086561,310524.000,48496,2,EA,1,100,0.030224
1713793808.153562,310591.000,48513,1,EA,1,100,0.030224
1713793808.220063,310657.500,48530,2,EA,1,100,0.030224
1713793808.286564,310724.000,48530,2,EA,1,100,0.030224
1713793808.353565,310791.000,48547,1,EA,1,100,0.030224
1713793808.420066,310857.500,48561,2,EA,1,100,0.030224
1713793808.486567,310924.000,48561,2,EA,1,100,0.030224
1713793808.553568,310991.000,48578,1,EA,1,100,0.030224
1713793808.620069,311057.500,48595,2,EA,1,100,0.030224
1713793808.686570,311124.000,48595,2,EA,1,100,0.030224
1713793808.753571,311191.000,48612,1,EA,1,100,0.030224
