LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1729244897.724744,272636.000,38310,1,TH,1,100,24.179
1729244897.857743,272769.000,38327,1,TH,1,100,24.179
1729244897.990742,272902.000,38358,1,TH,1,100,24.218
1729244898.124742,273036.000,38375,1,TH,1,100,24.218
1729244898.257741,273169.000,38394,1,TH,1,100,24.142
1729244898.390740,273302.000,38425,1,TH,1,100,24.142
1729244898.524740,273436.000,38443,1,TH,1,100,24.173
1729244898.657739,273569.000,38464,1,TH,1,100,24.173
1729244898.790739,273702.000,38481,1,TH,1,100,24.252
1729244898.924738,273836.000,38498,1,TH,1,100,24.252
1729244899.057737,273969.000,38531,1,TH,1,100,24.276
1729244899.190737,274102.000,38549,1,TH,1,100,24.283
1729244899.323736,274235.000,38565,1,TH,1,100,24.251
1729244899.457735,274369.000,38597,1,TH,1,100,24.251
1729244899.590735,274502.000,38614,1,TH,1,100,24.156
1729244899.723734,274635.000,38630,1,TH,1,100,24.156
1729244899.857733,274769.000,38662,1,TH,1,100,24.201
1729244899.990733,274902.000,38679,1,TH,1,100,24.201
1729244900.123732,275035.000,38695,1,TH,1,100,24.330
1729244900.257731,275169.000,38713,1,TH,1,100,24.330
1729244900.390731,275302.000,38746,1,TH,1,100,24.230
1729244900.523730,275435.000,38763,1,TH,1,100,24.230
1729244900.657730,275569.000,38780,1,TH,1,100,24.188
1729244900.790729,275702.000,38812,1,TH,1,100,24.188
1729244900.923728,275835.000,38828,1,TH,1,100,24.280
1729244901.057728,275969.000,38847,1,TH,1,100,24.280
1729244901.190727,276102.000,38879,1,TH,1,100,24.214
1729244901.323726,276235.000,38895,1,TH,1,100,24.214
1729244901.457726,276369.000,38912,1,TH,1,100,24.219
1729244901.590725,276502.000,38944,1,TH,1,100,24.227
1729244901.723724,276635.000,38962,1,TH,1,100,24.289
1729244901.857724,276769.000,38980,1,TH,1,100,24.289
1729244901.990723,276902.000,39011,1,TH,1,100,24.313
1729244902.123723,277035.000,39028,1,TH,1,100,24.313
1729244902.257722,277169.000,39045,1,TH,1,100,24.300
1729244902.390721,277302.000,39061,1,TH,1,100,24.300
1729244902.523721,277435.000,39093,1,TH,1,100,24.347
1729244902.656720,277568.000,39110,1,TH,1,100,24.347
1729244902.790719,277702.000,39126,1,TH,1,100,24.273
1729244902.923719,277835.000,39158,1,TH,1,100,24.273
1729244903.056718,277968.000,39177,1,TH,1,100,24.255
1729244903.190717,278102.000,39194,1,TH,1,100,24.255
