LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1729244891.642773,266554.000,37320,9,PR,1,100,150788
1729244891.653106,266564.333,37320,9,PR,1,100,150786
1729244891.663440,266574.667,37320,9,PR,1,100,150777
1729244891.673773,266585.000,37320,9,PR,1,100,150792
1729244891.684106,266595.333,37320,9,PR,1,100,150769
1729244891.694440,266605.667,37320,9,PR,1,100,150781
1729244891.704773,266616.000,37320,9,PR,1,100,150800
1729244891.714500,266625.727,37336,11,PR,1,100,150773
1729244891.724227,266635.455,37336,11,PR,1,100,150817
1729244891.733954,266645.182,37336,11,PR,1,100,150810
1729244891.743682,266654.909,37336,11,PR,1,100,150772
1729244891.753409,266664.636,37336,11,PR,1,100,150812
1729244891.763136,266674.364,37336,11,PR,1,100,150800
1729244891.772863,266684.091,37336,11,PR,1,100,150815
1729244891.782591,266693.818,37336,11,PR,1,100,150791
1729244891.792318,266703.545,37336,11,PR,1,100,150806
1729244891.802045,266713.273,37336,11,PR,1,100,150824
1729244891.811772,266723.000,37336,11,PR,1,100,150812
1729244891.822472,266733.700,37354,10,PR,1,100,150848
1729244891.833172,266744.400,37354,10,PR,1,100,150806
1729244891.843872,266755.100,37354,10,PR,1,100,150821
1729244891.854572,266765.800,37354,10,PR,1,100,150854
1729244891.865272,266776.500,37354,10,PR,1,100,150831
1729244891.875972,266787.200,37354,10,PR,1,100,150797
1729244891.886672,266797.900,37354,10,PR,1,100,150785
1729244891.897372,266808.600,37354,10,PR,1,100,150839
1729244891.908072,266819.300,37354,10,PR,1,100,150818
1729244891.918772,266830.000,37354,10,PR,1,100,150789
1729244891.928072,266839.300,37371,10,PR,1,100,150835
1729244891.937372,266848.600,37371,10,PR,1,100,150796
1729244891.946672,266857.900,37371,10,PR,1,100,150796
1729244891.955972,266867.200,37371,10,PR,1,100,150818
1729244891.965271,266876.500,37371,10,PR,1,100,150792
1729244891.974571,266885.800,37371,10,PR,1,100,150793
1729244891.983871,266895.100,37371,10,PR,1,100,150813
1729244891.993171,266904.400,37371,10,PR,1,100,150767
1729244892.002471,266913.700,37371,10,PR,1,100,150788
1729244892.011771,266923.000,37371,10,PR,1,100,150797
1729244892.022471,266933.700,37387,10,PR,1,100,150798
1729244892.033171,266944.400,37387,10,PR,1,100,150799
1729244892.043871,266955.100,37387,10,PR,1,100,150815
1729244892.054571,266965.800,37387,10,PR,1,100,150827
1729244892.065271,266976.500,37387,10,PR,1,100,150808
1729244892.075971,266987.200,37387,10,PR,1,100,150812
