LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1729244928.847593,303759.000,43349,11,PG,1,100,9642
1729244928.858293,303769.700,43365,10,PG,1,100,9642
1729244928.868993,303780.400,43365,10,PG,1,100,9652
1729244928.879693,303791.100,43365,10,PG,1,100,9660
1729244928.890393,303801.800,43365,10,PG,1,100,9655
1729244928.901093,303812.500,43365,10,PG,1,100,9644
1729244928.911793,303823.200,43365,10,PG,1,100,9655
1729244928.922493,303833.900,43365,10,PG,1,100,9622
1729244928.933193,303844.600,43365,10,PG,1,100,9650
1729244928.943893,303855.300,43365,10,PG,1,100,9653
1729244928.954593,303866.000,43365,10,PG,1,100,9645
1729244928.963893,303875.300,43382,10,PG,1,100,9660
1729244928.973193,303884.600,43382,10,PG,1,100,9640
1729244928.982493,303893.900,43382,10,PG,1,100,9650
1729244928.991792,303903.200,43382,10,PG,1,100,9655
1729244929.001092,303912.500,43382,10,PG,1,100,9646
1729244929.010392,303921.800,43382,10,PG,1,100,9629
1729244929.019692,303931.100,43382,10,PG,1,100,9648
1729244929.028992,303940.400,43382,10,PG,1,100,9649
1729244929.038292,303949.700,43382,10,PG,1,100,9647
1729244929.047592,303959.000,43382,10,PG,1,100,9655
1729244929.058292,303969.700,43400,10,PG,1,100,9655
1729244929.068992,303980.400,43400,10,PG,1,100,9682
1729244929.079692,303991.100,43400,10,PG,1,100,9657
1729244929.090392,304001.800,43400,10,PG,1,100,9673
1729244929.101092,304012.500,43400,10,PG,1,100,9662
1729244929.111792,304023.200,43400,10,PG,1,100,9662
1729244929.122492,304033.900,43400,10,PG,1,100,9651
1729244929.133192,304044.600,43400,10,PG,1,100,9666
1729244929.143892,304055.300,43400,10,PG,1,100,9666
1729244929.154592,304066.000,43400,10,PG,1,100,9662
1729244929.163892,304075.300,43416,10,PG,1,100,9645
1729244929.173192,304084.600,43416,10,PG,1,100,9655
1729244929.182492,304093.900,43416,10,PG,1,100,9672
1729244929.191792,304103.200,43416,10,PG,1,100,9701
1729244929.201092,304112.500,43416,10,PG,1,100,9654
1729244929.210392,304121.800,43416,10,PG,1,100,9677
1729244929.219692,304131.100,43416,10,PG,1,100,9677
1729244929.228992,304140.400,43416,10,PG,1,100,9684
1729244929.238291,304149.700,43416,10,PG,1,100,9704
1729244929.247591,304159.000,43416,10,PG,1,100,9675
1729244929.258291,304169.700,43432,10,PG,1,100,9690
1729244929.268991,304180.400,43432,10,PG,1,100,9677
1729244929.279691,304191.100,43432,10,PG,1,100,9677
1729244929.290391,304201.800,43432,10,PG,1,100,9709
1729244929.301091,304212.500,43432,10,PG,1,100,9691
1729244929.311791,304223.200,43432,10,PG,1,100,9691
1729244929.322491,304233.900,43432,10,PG,1,100,9718
1729244929.333191,304244.600,43432,10,PG,1,100,9706
1729244929.343891,304255.300,43432,10,PG,1,100,9704
1729244929.354591,304266.000,43432,10,PG,1,100,9707
1729244929.364591,304276.000,43455,16,PG,1,100,9700
1729244929.374591,304286.000,43455,16,PG,1,100,9710
1729244929.384591,304296.000,43455,16,PG,1,100,9722
1729244929.394591,304306.000,43455,16,PG,1,100,9706
1729244929.404591,304316.000,43455,16,PG,1,100,9713
1729244929.414591,304326.000,43455,16,PG,1,100,9736
1729244929.424590,304336.000,43455,16,PG,1,100,9712
1729244929.434590,304346.000,43455,16,PG,1,100,9715
1729244929.444590,304356.000,43455,16,PG,1,100,9726
1729244929.454590,304366.000,43455,16,PG,1,100,9735
1729244929.464590,304376.000,43455,16,PG,1,100,9694
1729244929.474590,304386.000,43455,16,PG,1,100,9711
1729244929.484590,304396.000,43455,16,PG,1,100,9700
1729244929.494590,304406.000,43455,16,PG,1,100,9676
1729244929.504590,304416.000,43455,16,PG,1,100,9683
1729244929.514590,304426.000,43455,16,PG,1,100,9679
1729244929.524317,304435.727,43471,11,PG,1,100,9680
1729244929.534045,304445.455,43471,11,PG,1,100,9684
1729244929.543772,304455.182,43471,11,PG,1,100,9637
1729244929.553499,304464.909,43471,11,PG,1,100,9636
1729244929.563226,304474.636,43471,11,PG,1,100,9646
1729244929.572953,304484.364,43471,11,PG,1,100,9663
1729244929.582681,304494.091,43471,11,PG,1,100,9639
1729244929.592408,304503.818,43471,11,PG,1,100,9635
1729244929.602135,304513.545,43471,11,PG,1,100,9639
