LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1729244975.953366,350865,51006,1,BI,1,100,1200
1729244976.716362,351628,51138,1,BI,1,100,760
1729244977.662357,352574,51288,1,BI,1,100,940
1729244978.552353,353464,51439,1,BI,1,100,890
1729244979.655348,354567,51603,1,BI,1,100,1100
1729244980.199345,355111,51704,1,BI,1,100,540
1729244980.819342,355731,51793,1,BI,1,100,620
1729244983.758328,358670,52270,1,BI,1,100,2930
1729244984.259325,359171,52357,1,BI,1,100,500
1729244985.282320,360194,52521,1,BI,1,100,1020
1729244986.171316,361083,52660,1,BI,1,100,880
1729244987.058312,361970,52810,1,BI,1,100,890
1729244988.068307,362980,52958,1,BI,1,100,1000
1729244989.021302,363933,53125,1,BI,1,100,950
1729244989.835298,364747,53257,1,BI,1,100,810
1729244990.671294,365583,53390,1,BI,1,100,840
1729244991.568290,366480,53529,1,BI,1,100,890
1729244992.531285,367443,53696,1,BI,1,100,960
1729244993.737280,368649,53895,1,BI,1,100,1200
1729244994.597275,369509,54028,1,BI,1,100,860
1729244996.541266,371453,54347,1,BI,1,100,1940
1729244997.617261,372529,54511,1,BI,1,100,1070
1729244997.777260,372689,54546,1,BI,1,100,160
1729244998.654256,373566,54697,1,BI,1,100,870
1729244999.193253,374105,54779,1,BI,1,100,540
1729245000.247248,375159,54945,1,BI,1,100,1050
1729245001.094244,376006,55094,1,BI,1,100,850
1729245002.033239,376945,55232,1,BI,1,100,930
1729245003.080234,377992,55415,1,BI,1,100,1050
1729245004.126229,379038,55581,1,BI,1,100,1040
1729245004.956225,379868,55714,1,BI,1,100,830
1729245005.913221,380825,55880,1,BI,1,100,950
1729245006.056220,380968,55898,1,BI,1,100,140
1729245006.926216,381838,56036,1,BI,1,100,870
1729245007.799212,382711,56168,1,BI,1,100,870
1729245008.676207,383588,56320,1,BI,1,100,870
1729245009.489203,384401,56452,1,BI,1,100,810
1729245010.379199,385291,56601,1,BI,1,100,890
1729245011.362194,386274,56767,1,BI,1,100,980
1729245012.309190,387221,56905,1,BI,1,100,940
1729245013.272185,388184,57073,1,BI,1,100,960
1729245014.135181,389047,57205,1,BI,1,100,860
1729245015.045177,389957,57355,1,BI,1,100,910
1729245015.892172,390804,57490,1,BI,1,100,840
1729245016.662169,391574,57611,1,BI,1,100,770
1729245017.465165,392377,57745,1,BI,1,100,800
1729245018.298161,393210,57880,1,BI,1,100,830
1729245019.175157,394087,58027,1,BI,1,100,880
1729245019.971153,394883,58145,1,BI,1,100,790
1729245020.495150,395407,58243,1,BI,1,100,520
1729245021.168147,396080,58344,1,BI,1,100,670
1729245021.795144,396707,58450,1,BI,1,100,630
1729245022.974138,397886,58631,1,BI,1,100,1170
1729245023.718135,398630,58766,1,BI,1,100,740
1729245024.424131,399336,58883,1,BI,1,100,710
1729245025.141128,400053,58998,1,BI,1,100,710
1729245025.831124,400743,59115,1,BI,1,100,690
1729245026.531121,401443,59215,1,BI,1,100,700
1729245027.351117,402263,59355,1,BI,1,100,820
1729245028.097113,403009,59470,1,BI,1,100,740
1729245028.937109,403849,59622,1,BI,1,100,840
1729245029.894105,404806,59771,1,BI,1,100,950
1729245030.784101,405696,59919,1,BI,1,100,890
1729245031.320098,406232,60002,1,BI,1,100,530
1729245031.657096,406569,60055,1,BI,1,100,340
1729245031.904095,406816,60105,1,BI,1,100,240
1729245032.590092,407502,60211,1,BI,1,100,690
1729245033.487087,408399,60362,1,BI,1,100,890
1729245033.910085,408822,60430,1,BI,1,100,420
1729245034.237084,409149,60480,1,BI,1,100,330
1729245035.290079,410202,60646,1,BI,1,100,1050
1729245036.146075,411058,60795,1,BI,1,100,850
1729245036.906071,411818,60910,1,BI,1,100,760
1729245037.693067,412605,61048,1,BI,1,100,780
1729245038.776062,413688,61216,1,BI,1,100,1080
1729245039.676057,414588,61366,1,BI,1,100,900
1729245040.456054,415368,61498,1,BI,1,100,780
1729245041.436049,416348,61647,1,BI,1,100,970
1729245042.053046,416965,61763,1,BI,1,100,620
1729245042.909042,417821,61903,1,BI,1,100,850
1729245043.752038,418664,62037,1,BI,1,100,840
1729245044.606034,419518,62170,1,BI,1,100,850
1729245045.482029,420394,62318,1,BI,1,100,880
1729245046.499024,421411,62468,1,BI,1,100,1010
1729245047.372020,422284,62601,1,BI,1,100,870
1729245048.365016,423277,62774,1,BI,1,100,990
1729245049.188011,424100,62906,1,BI,1,100,820
1729245050.012007,424924,63041,1,BI,1,100,820
1729245050.798004,425710,63173,1,BI,1,100,780
1729245050.952003,425864,63191,1,BI,1,100,160
1729245051.831999,426744,63339,1,BI,1,100,870
1729245052.554995,427467,63463,1,BI,1,100,720
1729245053.564990,428477,63613,1,BI,1,100,1010
1729245054.327987,429240,63746,1,BI,1,100,760
1729245055.314982,430227,63896,1,BI,1,100,990
1729245056.277977,431190,64062,1,BI,1,100,960
