LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1713787999.589516,125945.500,18682,2,EA,1,100,0.162400
1713787999.656017,126012.000,18682,2,EA,1,100,0.162343
1713787999.723018,126079.000,18699,1,EA,1,100,0.162256
1713787999.789519,126145.500,18713,2,EA,1,100,0.162245
1713787999.856019,126212.000,18713,2,EA,1,100,0.162241
1713787999.923020,126279.000,18731,1,EA,1,100,0.162256
1713787999.989521,126345.500,18749,2,EA,1,100,0.162275
1713788000.056022,126412.000,18749,2,EA,1,100,0.162267
1713788000.123023,126479.000,18766,1,EA,1,100,0.162275
1713788000.189524,126545.500,18782,2,EA,1,100,0.162177
1713788000.256025,126612.000,18782,2,EA,1,100,0.162109
1713788000.323025,126679.000,18800,1,EA,1,100,0.162056
1713788000.389526,126745.500,18816,2,EA,1,100,0.161988
1713788000.456027,126812.000,18816,2,EA,1,100,0.161909
1713788000.523028,126879.000,18834,2,EA,1,100,0.161898
1713788000.590029,126946.000,18834,2,EA,1,100,0.161913
1713788000.656030,127012.000,18850,1,EA,1,100,0.161916
1713788000.723031,127079.000,18867,2,EA,1,100,0.162022
1713788000.790031,127146.000,18867,2,EA,1,100,0.162011
1713788000.856032,127212.000,18883,1,EA,1,100,0.161969
1713788000.923033,127279.000,18901,2,EA,1,100,0.161992
1713788000.990034,127346.000,18901,2,EA,1,100,0.161924
1713788001.056035,127412.000,18917,1,EA,1,100,0.161894
1713788001.122536,127478.500,18932,2,EA,1,100,0.161905
1713788001.189037,127545.000,18932,2,EA,1,100,0.161913
1713788001.256037,127612.000,18949,1,EA,1,100,0.161913
1713788001.322538,127678.500,18966,2,EA,1,100,0.161939
1713788001.389039,127745.000,18966,2,EA,1,100,0.161954
1713788001.456040,127812.000,18982,1,EA,1,100,0.162026
1713788001.522541,127878.500,18998,2,EA,1,100,0.162063
1713788001.589042,127945.000,18998,2,EA,1,100,0.162222
1713788001.656043,128012.000,19014,1,EA,1,100,0.162335
1713788001.722543,128078.500,19033,2,EA,1,100,0.162419
1713788001.789044,128145.000,19033,2,EA,1,100,0.162506
1713788001.856045,128212.000,19049,1,EA,1,100,0.162608
1713788001.922546,128278.500,19065,2,EA,1,100,0.162856
1713788001.989047,128345.000,19065,2,EA,1,100,0.162981
1713788002.056048,128412.000,19081,1,EA,1,100,0.163115
1713788002.122549,128478.500,19098,2,EA,1,100,0.163287
1713788002.189049,128545.000,19098,2,EA,1,100,0.163448
1713788002.256050,128612.000,19115,1,EA,1,100,0.163594
1713788002.322551,128678.500,19130,2,EA,1,100,0.163736
1713788002.389052,128745.000,19130,2,EA,1,100,0.163921
1713788002.456053,128812.000,19146,1,EA,1,100,0.164138
1713788002.522554,128878.500,19169,2,EA,1,100,0.164347
1713788002.589055,128945.000,19169,2,EA,1,100,0.164619
1713788002.656055,129012.000,19185,1,EA,1,100,0.164818
1713788002.722556,129078.500,19201,2,EA,1,100,0.165079
1713788002.789057,129145.000,19201,2,EA,1,100,0.165315
1713788002.856058,129212.000,19216,1,EA,1,100,0.165527
1713788002.922559,129278.500,19234,2,EA,1,100,0.165842
1713788002.989060,129345.000,19234,2,EA,1,100,0.166076
1713788003.056061,129412.000,19250,2,EA,1,100,0.166218
1713788003.123061,129479.000,19250,2,EA,1,100,0.166397
1713788003.189062,129545.000,19267,1,EA,1,100,0.166604
1713788003.256063,129612.000,19282,2,EA,1,100,0.166832
1713788003.323064,129679.000,19282,2,EA,1,100,0.167068
1713788003.389065,129745.000,19299,1,EA,1,100,0.167212
1713788003.456066,129812.000,19317,2,EA,1,100,0.167281
1713788003.523067,129879.000,19317,2,EA,1,100,0.167445
1713788003.589067,129945.000,19335,1,EA,1,100,0.167631
1713788003.656068,130012.000,19349,2,EA,1,100,0.167922
1713788003.723069,130079.000,19349,2,EA,1,100,0.168141
1713788003.789070,130145.000,19366,1,EA,1,100,0.168401
1713788003.856071,130212.000,19383,2,EA,1,100,0.168687
1713788003.923072,130279.000,19383,2,EA,1,100,0.169055
1713788003.989072,130345.000,19400,1,EA,1,100,0.169463
1713788004.056073,130412.000,19414,2,EA,1,100,0.169967
1713788004.123074,130479.000,19414,2,EA,1,100,0.170625
1713788004.189075,130545.000,19431,1,EA,1,100,0.171424
1713788004.256076,130612.000,19448,2,EA,1,100,0.172323
1713788004.323077,130679.000,19448,2,EA,1,100,0.173907
1713788004.389078,130745.000,19465,1,EA,1,100,0.176021
1713788004.455578,130811.500,19479,2,EA,1,100,0.177181
1713788004.522079,130878.000,19479,2,EA,1,100,0.177724
1713788004.589080,130945.000,19497,1,EA,1,100,0.178074
1713788004.655581,131011.500,19515,2,EA,1,100,0.178252
1713788004.722082,131078.000,19515,2,EA,1,100,0.178252
1713788004.789083,131145.000,19532,1,EA,1,100,0.178234
1713788004.855584,131211.500,19547,2,EA,1,100,0.178156
1713788004.922084,131278.000,19547,2,EA,1,100,0.178079
1713788004.989085,131345.000,19564,1,EA,1,100,0.178083
1713788005.055586,131411.500,19580,2,EA,1,100,0.177919
1713788005.122087,131478.000,19580,2,EA,1,100,0.177856
1713788005.189088,131545.000,19597,1,EA,1,100,0.177788
1713788005.255589,131611.500,19615,2,EA,1,100,0.177760
1713788005.322089,131678.000,19615,2,EA,1,100,0.177697
1713788005.389090,131745.000,19631,2,EA,1,100,0.177683
1713788005.456091,131812.000,19631,2,EA,1,100,0.177493
1713788005.522092,131878.000,19647,1,EA,1,100,0.177407
1713788005.589093,131945.000,19665,2,EA,1,100,0.177326
1713788005.656094,132012.000,19665,2,EA,1,100,0.177258
1713788005.722095,132078.000,19681,1,EA,1,100,0.177218
1713788005.789096,132145.000,19696,2,EA,1,100,0.177159
1713788005.856096,132212.000,19696,2,EA,1,100,0.177118
1713788005.922097,132278.000,19713,1,EA,1,100,0.177078
1713788005.989098,132345.000,19730,2,EA,1,100,0.177010
1713788006.056099,132412.000,19730,2,EA,1,100,0.177078
1713788006.122100,132478.000,19748,1,EA,1,100,0.177163
1713788006.189101,132545.000,19764,2,EA,1,100,0.177208
1713788006.256102,132612.000,19764,2,EA,1,100,0.176988
1713788006.322102,132678.000,19780,1,EA,1,100,0.176871
1713788006.389103,132745.000,19797,2,EA,1,100,0.176893
1713788006.456104,132812.000,19797,2,EA,1,100,0.176862
1713788006.522105,132878.000,19813,1,EA,1,100,0.176835
1713788006.589106,132945.000,19829,2,EA,1,100,0.176893
1713788006.656107,133012.000,19829,2,EA,1,100,0.176839
1713788006.722107,133078.000,19845,1,EA,1,100,0.176826
1713788006.789108,133145.000,19862,2,EA,1,100,0.176781
1713788006.856109,133212.000,19862,2,EA,1,100,0.176799
1713788006.922110,133278.000,19879,1,EA,1,100,0.176763
1713788006.989111,133345.000,19894,2,EA,1,100,0.176781
1713788007.056112,133412.000,19894,2,EA,1,100,0.176741
1713788007.122113,133478.000,19910,1,EA,1,100,0.176781
1713788007.189113,133545.000,19930,2,EA,1,100,0.176799
1713788007.256114,133612.000,19930,2,EA,1,100,0.176790
1713788007.322115,133678.000,19946,1,EA,1,100,0.176745
1713788007.389116,133745.000,19962,2,EA,1,100,0.176795
1713788007.456117,133812.000,19962,2,EA,1,100,0.176848
1713788007.522118,133878.000,19977,1,EA,1,100,0.176902
1713788007.589119,133945.000,20000,2,EA,1,100,0.176988
1713788007.656120,134012.000,20000,2,EA,1,100,0.177136
1713788007.722620,134078.500,20016,2,EA,1,100,0.177276
1713788007.789121,134145.000,20016,2,EA,1,100,0.177376
1713788007.856122,134212.000,20033,1,EA,1,100,0.177520
1713788007.922623,134278.500,20048,2,EA,1,100,0.177688
1713788007.989124,134345.000,20048,2,EA,1,100,0.178111
1713788008.055125,134411.000,20065,1,EA,1,100,0.178375
1713788008.122125,134478.000,20081,2,EA,1,100,0.178595
1713788008.189126,134545.000,20081,2,EA,1,100,0.178898
1713788008.255127,134611.000,20099,1,EA,1,100,0.179548
1713788008.322128,134678.000,20113,2,EA,1,100,0.180967
1713788008.389129,134745.000,20113,2,EA,1,100,0.182805
1713788008.455130,134811.000,20130,1,EA,1,100,0.184491
1713788008.522130,134878.000,20147,2,EA,1,100,0.186607
1713788008.589131,134945.000,20147,2,EA,1,100,0.187461
1713788008.655132,135011.000,20164,1,EA,1,100,0.187714
1713788008.722133,135078.000,20182,2,EA,1,100,0.187921
1713788008.789134,135145.000,20182,2,EA,1,100,0.187998
1713788008.855135,135211.000,20199,1,EA,1,100,0.187952
1713788008.922136,135278.000,20216,2,EA,1,100,0.187891
1713788008.989137,135345.000,20216,2,EA,1,100,0.187805
1713788009.055137,135411.000,20233,1,EA,1,100,0.187714
1713788009.122138,135478.000,20247,2,EA,1,100,0.187744
1713788009.189139,135545.000,20247,2,EA,1,100,0.187542
1713788009.255140,135611.000,20265,1,EA,1,100,0.187396
1713788009.322141,135678.000,20281,2,EA,1,100,0.187370
1713788009.389142,135745.000,20281,2,EA,1,100,0.187199
1713788009.455142,135811.000,20298,1,EA,1,100,0.186993
1713788009.522143,135878.000,20313,2,EA,1,100,0.186822
1713788009.589144,135945.000,20313,2,EA,1,100,0.186602
1713788009.655145,136011.000,20332,1,EA,1,100,0.186447
1713788009.722146,136078.000,20348,2,EA,1,100,0.186203
1713788009.789147,136145.000,20348,2,EA,1,100,0.185989
