LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713788002.997060,129353.000,19237,1,TH,1,100,31.398
1713788003.131061,129487.000,19253,1,TH,1,100,31.398
1713788003.264063,129620.000,19285,1,TH,1,100,31.313
1713788003.397065,129753.000,19302,1,TH,1,100,31.313
1713788003.531067,129887.000,19320,1,TH,1,100,31.354
1713788003.664068,130020.000,19352,1,TH,1,100,31.354
1713788003.797070,130153.000,19369,1,TH,1,100,31.332
1713788003.931072,130287.000,19386,1,TH,1,100,31.339
1713788004.064073,130420.000,19417,1,TH,1,100,31.381
1713788004.197075,130553.000,19434,1,TH,1,100,31.381
1713788004.331077,130687.000,19451,1,TH,1,100,31.322
1713788004.464078,130820.000,19482,1,TH,1,100,31.322
1713788004.597080,130953.000,19500,1,TH,1,100,31.322
1713788004.731082,131087.000,19518,1,TH,1,100,31.329
1713788004.864084,131220.000,19550,1,TH,1,100,31.359
1713788004.997085,131353.000,19567,1,TH,1,100,31.359
1713788005.130087,131486.000,19583,1,TH,1,100,31.305
1713788005.264089,131620.000,19617,1,TH,1,100,31.305
1713788005.397090,131753.000,19634,1,TH,1,100,31.390
1713788005.530092,131886.000,19650,1,TH,1,100,31.390
1713788005.664094,132020.000,19668,1,TH,1,100,31.385
1713788005.797096,132153.000,19699,1,TH,1,100,31.385
1713788005.930097,132286.000,19716,1,TH,1,100,31.410
1713788006.064099,132420.000,19733,1,TH,1,100,31.417
1713788006.197101,132553.000,19767,1,TH,1,100,31.346
1713788006.330102,132686.000,19783,1,TH,1,100,31.346
1713788006.464104,132820.000,19800,1,TH,1,100,31.365
1713788006.597106,132953.000,19832,1,TH,1,100,31.365
1713788006.730108,133086.000,19848,1,TH,1,100,31.375
1713788006.864109,133220.000,19865,1,TH,1,100,31.375
1713788006.997111,133353.000,19897,1,TH,1,100,31.343
1713788007.130113,133486.000,19913,1,TH,1,100,31.344
1713788007.264114,133620.000,19933,1,TH,1,100,31.409
1713788007.397116,133753.000,19964,1,TH,1,100,31.417
1713788007.530118,133886.000,19980,1,TH,1,100,31.318
1713788007.664119,134020.000,20003,1,TH,1,100,31.318
1713788007.797121,134153.000,20019,1,TH,1,100,31.355
1713788007.930123,134286.000,20051,1,TH,1,100,31.355
1713788008.064125,134420.000,20068,1,TH,1,100,31.377
1713788008.197126,134553.000,20084,1,TH,1,100,31.377
1713788008.330128,134686.000,20116,1,TH,1,100,31.409
1713788008.463130,134819.000,20133,1,TH,1,100,31.409
1713788008.597131,134953.000,20150,1,TH,1,100,31.394
1713788008.730133,135086.000,20185,1,TH,1,100,31.401
1713788008.863135,135219.000,20202,1,TH,1,100,31.313
1713788008.997137,135353.000,20219,1,TH,1,100,31.313
1713788009.130138,135486.000,20250,1,TH,1,100,31.399
1713788009.263140,135619.000,20268,1,TH,1,100,31.399
1713788009.397142,135753.000,20284,1,TH,1,100,31.465
1713788009.530143,135886.000,20316,1,TH,1,100,31.465
1713788009.663145,136019.000,20335,1,TH,1,100,31.377
1713788009.797147,136153.000,20351,1,TH,1,100,31.377
1713788009.930149,136286.000,20383,1,TH,1,100,31.384
1713788010.063150,136419.000,20400,1,TH,1,100,31.391
1713788010.197152,136553.000,20416,1,TH,1,100,31.337
1713788010.330154,136686.000,20436,1,TH,1,100,31.337
1713788010.463156,136819.000,20467,1,TH,1,100,31.467
1713788010.597157,136953.000,20486,1,TH,1,100,31.467
1713788010.730159,137086.000,20503,1,TH,1,100,31.332
1713788010.863161,137219.000,20535,1,TH,1,100,31.332
1713788010.997162,137353.000,20551,1,TH,1,100,31.345
1713788011.130164,137486.000,20568,1,TH,1,100,31.352
1713788011.263166,137619.000,20600,1,TH,1,100,31.403
1713788011.396168,137752.000,20616,1,TH,1,100,31.403
1713788011.530169,137886.000,20635,1,TH,1,100,31.391
1713788011.663171,138019.000,20667,1,TH,1,100,31.391
1713788011.796173,138152.000,20683,1,TH,1,100,31.425
1713788011.930174,138286.000,20701,1,TH,1,100,31.425
1713788012.063176,138419.000,20734,1,TH,1,100,31.381
1713788012.196178,138552.000,20750,1,TH,1,100,31.381
1713788012.330179,138686.000,20768,1,TH,1,100,31.449
1713788012.463181,138819.000,20799,1,TH,1,100,31.456
1713788012.596183,138952.000,20816,1,TH,1,100,31.371
1713788012.730185,139086.000,20833,1,TH,1,100,31.371
1713788012.863186,139219.000,20854,1,TH,1,100,31.385
1713788012.996188,139352.000,20886,1,TH,1,100,31.385
1713788013.130190,139486.000,20903,1,TH,1,100,31.312
1713788013.263191,139619.000,20920,1,TH,1,100,31.319
1713788013.396193,139752.000,20951,1,TH,1,100,31.444
