LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1713788003.097061,129453.000,19255,2,AY,1,100,0.006
1713788003.137062,129493.000,19270,3,AY,1,100,0.008
1713788003.177062,129533.000,19270,3,AY,1,100,0.009
1713788003.217062,129573.000,19270,3,AY,1,100,0.009
1713788003.257063,129613.000,19287,2,AY,1,100,0.006
1713788003.297064,129653.000,19287,2,AY,1,100,0.006
1713788003.337064,129693.000,19304,3,AY,1,100,0.006
1713788003.377064,129733.000,19304,3,AY,1,100,0.009
1713788003.417065,129773.000,19304,3,AY,1,100,0.008
1713788003.457066,129813.000,19322,2,AY,1,100,0.010
1713788003.497066,129853.000,19322,2,AY,1,100,0.011
1713788003.537067,129893.000,19338,3,AY,1,100,0.005
1713788003.577067,129933.000,19338,3,AY,1,100,0.011
1713788003.617068,129973.000,19338,3,AY,1,100,0.009
1713788003.657068,130013.000,19354,3,AY,1,100,0.008
1713788003.697069,130053.000,19354,3,AY,1,100,0.008
1713788003.737069,130093.000,19354,3,AY,1,100,0.008
1713788003.777070,130133.000,19371,2,AY,1,100,0.007
1713788003.817070,130173.000,19371,2,AY,1,100,0.009
1713788003.857071,130213.000,19388,3,AY,1,100,0.010
1713788003.897071,130253.000,19388,3,AY,1,100,0.007
1713788003.937072,130293.000,19388,3,AY,1,100,0.007
1713788003.977072,130333.000,19403,2,AY,1,100,0.011
1713788004.017073,130373.000,19403,2,AY,1,100,0.009
1713788004.057073,130413.000,19419,3,AY,1,100,0.004
1713788004.097074,130453.000,19419,3,AY,1,100,0.008
1713788004.137074,130493.000,19419,3,AY,1,100,0.009
1713788004.177075,130533.000,19436,2,AY,1,100,0.007
1713788004.217075,130573.000,19436,2,AY,1,100,0.007
1713788004.257076,130613.000,19453,3,AY,1,100,0.009
1713788004.297076,130653.000,19453,3,AY,1,100,0.010
1713788004.337077,130693.000,19453,3,AY,1,100,0.006
1713788004.377077,130733.000,19468,2,AY,1,100,0.010
1713788004.417078,130773.000,19468,2,AY,1,100,0.007
1713788004.457078,130813.000,19484,3,AY,1,100,0.006
1713788004.497079,130853.000,19484,3,AY,1,100,0.009
1713788004.537080,130893.000,19484,3,AY,1,100,0.003
1713788004.583580,130939.500,19502,2,AY,1,100,0.004
1713788004.630081,130986.000,19502,2,AY,1,100,0.009
1713788004.670081,131026.000,19520,2,AY,1,100,0.008
1713788004.710082,131066.000,19520,2,AY,1,100,0.007
1713788004.750082,131106.000,19535,3,AY,1,100,0.011
1713788004.790083,131146.000,19535,3,AY,1,100,0.009
1713788004.830083,131186.000,19535,3,AY,1,100,0.005
1713788004.870084,131226.000,19552,3,AY,1,100,0.005
1713788004.910084,131266.000,19552,3,AY,1,100,0.004
1713788004.950085,131306.000,19552,3,AY,1,100,0.008
1713788004.990085,131346.000,19569,2,AY,1,100,0.009
1713788005.030086,131386.000,19569,2,AY,1,100,0.008
1713788005.070086,131426.000,19585,3,AY,1,100,0.008
1713788005.110087,131466.000,19585,3,AY,1,100,0.008
1713788005.150087,131506.000,19585,3,AY,1,100,0.009
1713788005.190088,131546.000,19601,2,AY,1,100,0.004
1713788005.230088,131586.000,19601,2,AY,1,100,0.012
1713788005.270089,131626.000,19619,3,AY,1,100,0.003
1713788005.310089,131666.000,19619,3,AY,1,100,0.009
1713788005.350090,131706.000,19619,3,AY,1,100,0.004
1713788005.390090,131746.000,19636,2,AY,1,100,0.007
1713788005.430091,131786.000,19636,2,AY,1,100,0.007
1713788005.470091,131826.000,19652,3,AY,1,100,0.013
1713788005.510092,131866.000,19652,3,AY,1,100,0.015
1713788005.550092,131906.000,19652,3,AY,1,100,0.005
1713788005.590093,131946.000,19670,2,AY,1,100,0.004
1713788005.630094,131986.000,19670,2,AY,1,100,-0.002
1713788005.670094,132026.000,19684,3,AY,1,100,-0.004
1713788005.710094,132066.000,19684,3,AY,1,100,0.014
1713788005.750095,132106.000,19684,3,AY,1,100,0.006
1713788005.790096,132146.000,19701,2,AY,1,100,0.006
1713788005.830096,132186.000,19701,2,AY,1,100,0.009
1713788005.870097,132226.000,19718,3,AY,1,100,0.020
1713788005.910097,132266.000,19718,3,AY,1,100,0.010
1713788005.950098,132306.000,19718,3,AY,1,100,0.005
1713788005.990098,132346.000,19735,2,AY,1,100,0.014
1713788006.030099,132386.000,19735,2,AY,1,100,0.013
1713788006.070099,132426.000,19751,3,AY,1,100,0.004
1713788006.110100,132466.000,19751,3,AY,1,100,0.002
1713788006.150100,132506.000,19751,3,AY,1,100,0.005
1713788006.190101,132546.000,19769,3,AY,1,100,0.007
1713788006.230101,132586.000,19769,3,AY,1,100,0.015
1713788006.270102,132626.000,19769,3,AY,1,100,0.027
1713788006.310102,132666.000,19785,2,AY,1,100,0.010
1713788006.350103,132706.000,19785,2,AY,1,100,-0.007
1713788006.390103,132746.000,19802,3,AY,1,100,-0.006
1713788006.430104,132786.000,19802,3,AY,1,100,0.004
1713788006.470104,132826.000,19802,3,AY,1,100,-0.001
1713788006.510105,132866.000,19816,2,AY,1,100,0.003
1713788006.550105,132906.000,19816,2,AY,1,100,0.014
1713788006.590106,132946.000,19834,2,AY,1,100,0.012
1713788006.630106,132986.000,19834,2,AY,1,100,0.009
1713788006.674440,133030.333,19850,3,AY,1,100,0.005
1713788006.718774,133074.667,19850,3,AY,1,100,0.006
1713788006.763108,133119.000,19850,3,AY,1,100,0.007
1713788006.803108,133159.000,19867,2,AY,1,100,0.007
1713788006.843109,133199.000,19867,2,AY,1,100,0.009
1713788006.883110,133239.000,19882,3,AY,1,100,0.014
1713788006.923110,133279.000,19882,3,AY,1,100,0.005
1713788006.963111,133319.000,19882,3,AY,1,100,0.010
1713788007.003111,133359.000,19899,3,AY,1,100,0.010
1713788007.043112,133399.000,19899,3,AY,1,100,0.004
1713788007.083112,133439.000,19899,3,AY,1,100,0.001
1713788007.123113,133479.000,19915,2,AY,1,100,0.002
1713788007.163113,133519.000,19915,2,AY,1,100,0.009
1713788007.203114,133559.000,19935,3,AY,1,100,0.003
1713788007.243114,133599.000,19935,3,AY,1,100,0.007
1713788007.283115,133639.000,19935,3,AY,1,100,0.010
1713788007.323115,133679.000,19950,2,AY,1,100,0.011
1713788007.363116,133719.000,19950,2,AY,1,100,0.010
1713788007.403116,133759.000,19966,3,AY,1,100,0.007
1713788007.443117,133799.000,19966,3,AY,1,100,0.002
1713788007.483117,133839.000,19966,3,AY,1,100,0.008
1713788007.523118,133879.000,19982,2,AY,1,100,0.002
1713788007.563118,133919.000,19982,2,AY,1,100,0.007
1713788007.603119,133959.000,20005,3,AY,1,100,0.012
1713788007.643119,133999.000,20005,3,AY,1,100,0.009
1713788007.683120,134039.000,20005,3,AY,1,100,0.005
1713788007.723120,134079.000,20021,2,AY,1,100,0.012
1713788007.763121,134119.000,20021,2,AY,1,100,0.011
1713788007.803121,134159.000,20036,3,AY,1,100,0.003
1713788007.843122,134199.000,20036,3,AY,1,100,0.003
1713788007.883122,134239.000,20036,3,AY,1,100,0.010
1713788007.923123,134279.000,20053,2,AY,1,100,0.006
1713788007.963123,134319.000,20053,2,AY,1,100,0.007
1713788008.003124,134359.000,20070,3,AY,1,100,0.011
1713788008.043124,134399.000,20070,3,AY,1,100,0.010
1713788008.083125,134439.000,20070,3,AY,1,100,0.006
1713788008.123126,134479.000,20086,2,AY,1,100,0.008
1713788008.163126,134519.000,20086,2,AY,1,100,0.004
1713788008.203126,134559.000,20102,3,AY,1,100,0.007
1713788008.243127,134599.000,20102,3,AY,1,100,0.008
1713788008.283128,134639.000,20102,3,AY,1,100,0.007
1713788008.323128,134679.000,20118,2,AY,1,100,0.005
1713788008.363129,134719.000,20118,2,AY,1,100,0.007
1713788008.403129,134759.000,20135,3,AY,1,100,0.009
1713788008.443130,134799.000,20135,3,AY,1,100,0.007
1713788008.483130,134839.000,20135,3,AY,1,100,0.006
1713788008.523131,134879.000,20152,3,AY,1,100,0.006
1713788008.563131,134919.000,20152,3,AY,1,100,0.013
1713788008.603132,134959.000,20152,3,AY,1,100,0.007
1713788008.643132,134999.000,20167,2,AY,1,100,0.003
