LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1713787999.790019,126146.000,18721,3,GY,1,100,0.122
1713787999.830019,126186.000,18721,3,GY,1,100,0.580
1713787999.870020,126226.000,18721,3,GY,1,100,0.519
1713787999.910020,126266.000,18739,2,GY,1,100,-0.061
1713787999.950021,126306.000,18739,2,GY,1,100,-0.183
1713787999.990021,126346.000,18757,3,GY,1,100,0.427
1713788000.030022,126386.000,18757,3,GY,1,100,0.458
1713788000.070022,126426.000,18757,3,GY,1,100,-0.031
1713788000.110023,126466.000,18773,2,GY,1,100,0.183
1713788000.150023,126506.000,18773,2,GY,1,100,0.519
1713788000.190024,126546.000,18789,3,GY,1,100,-0.183
1713788000.230024,126586.000,18789,3,GY,1,100,-1.099
1713788000.270025,126626.000,18789,3,GY,1,100,-0.702
1713788000.310025,126666.000,18808,3,GY,1,100,0.702
1713788000.350026,126706.000,18808,3,GY,1,100,0.305
1713788000.390026,126746.000,18808,3,GY,1,100,-0.244
1713788000.430027,126786.000,18824,2,GY,1,100,-0.153
1713788000.470027,126826.000,18824,2,GY,1,100,0.031
1713788000.517028,126873.000,18842,2,GY,1,100,0.702
1713788000.564029,126920.000,18842,2,GY,1,100,0.854
1713788000.604029,126960.000,18856,3,GY,1,100,1.251
1713788000.644030,127000.000,18856,3,GY,1,100,1.434
1713788000.684030,127040.000,18856,3,GY,1,100,0.519
1713788000.724030,127080.000,18875,2,GY,1,100,0.183
1713788000.764031,127120.000,18875,2,GY,1,100,1.038
1713788000.804032,127160.000,18891,3,GY,1,100,0.671
1713788000.844032,127200.000,18891,3,GY,1,100,0.763
1713788000.884032,127240.000,18891,3,GY,1,100,0.244
1713788000.924033,127280.000,18909,2,GY,1,100,0.000
1713788000.964034,127320.000,18909,2,GY,1,100,0.061
1713788001.004034,127360.000,18923,3,GY,1,100,0.031
1713788001.044035,127400.000,18923,3,GY,1,100,0.061
1713788001.084035,127440.000,18923,3,GY,1,100,-0.549
1713788001.124036,127480.000,18940,2,GY,1,100,-1.099
1713788001.164036,127520.000,18940,2,GY,1,100,-0.793
1713788001.204037,127560.000,18957,3,GY,1,100,0.061
1713788001.244037,127600.000,18957,3,GY,1,100,-0.092
1713788001.284038,127640.000,18957,3,GY,1,100,0.061
1713788001.324038,127680.000,18974,2,GY,1,100,0.427
1713788001.364039,127720.000,18974,2,GY,1,100,0.183
