LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1713788144.058869,270413,42334,1,BI,1,100,360
1713788145.417887,271772,42569,1,BI,1,100,1360
1713788146.937907,273292,42806,1,BI,1,100,1520
1713788148.950932,275305,43136,1,BI,1,100,2000
1713788150.910957,277265,43473,1,BI,1,100,1960
1713788151.670967,278025,43591,1,BI,1,100,760
1713788152.070972,278425,43658,1,BI,1,100,400
1713788152.430977,278785,43709,1,BI,1,100,360
1713788153.350989,279705,43858,1,BI,1,100,920
1713788154.030997,280385,43974,1,BI,1,100,680
1713788154.844008,281198,44108,1,BI,1,100,800
1713788156.444028,282798,44363,1,BI,1,100,1600
1713788157.444041,283798,44533,1,BI,1,100,1000
1713788158.124050,284478,44651,1,BI,1,100,680
1713788158.764058,285118,44751,1,BI,1,100,640
1713788160.164076,286518,44987,1,BI,1,100,1400
1713788160.364079,286718,45025,1,BI,1,100,200
1713788160.924086,287278,45108,1,BI,1,100,560
1713788162.177102,288531,45319,1,BI,1,100,1240
1713788162.857111,289211,45439,1,BI,1,100,680
1713788164.257128,290611,45674,1,BI,1,100,1400
1713788165.136140,291490,45807,1,BI,1,100,880
1713788168.309180,294663,46326,1,BI,1,100,3160
1713788169.110191,295464,46459,1,BI,1,100,800
1713788169.789200,296143,46575,1,BI,1,100,680
1713788171.029216,297383,46777,1,BI,1,100,1240
1713788171.829226,298183,46901,1,BI,1,100,800
1713788172.989241,299343,47082,1,BI,1,100,1160
1713788173.669249,300023,47198,1,BI,1,100,680
1713788174.802264,301156,47384,1,BI,1,100,1120
1713788175.322271,301676,47471,1,BI,1,100,520
1713788176.042280,302396,47586,1,BI,1,100,720
1713788177.242295,303596,47788,1,BI,1,100,1200
1713788178.282309,304636,47955,1,BI,1,100,1040
1713788178.722314,305076,48024,1,BI,1,100,440
1713788179.282321,305636,48125,1,BI,1,100,560
1713788180.482337,306836,48326,1,BI,1,100,1200
1713788182.135358,308489,48580,1,BI,1,100,1640
1713788185.654403,312008,49160,1,BI,1,100,3520
1713788186.174410,312528,49246,1,BI,1,100,520
1713788186.814418,313168,49352,1,BI,1,100,640
1713788187.748430,314102,49501,1,BI,1,100,920
1713788189.268450,315622,49749,1,BI,1,100,1520
1713788189.987459,316341,49866,1,BI,1,100,720
1713788192.147486,318501,50221,1,BI,1,100,2160
1713788194.880522,321234,50664,1,BI,1,100,2720
1713788196.120537,322474,50865,1,BI,1,100,1240
1713788197.520555,323874,51104,1,BI,1,100,1400
1713788199.080575,325434,51354,1,BI,1,100,1560
1713788203.053626,329407,52018,1,BI,1,100,3960
1713788203.933638,330287,52150,1,BI,1,100,880
1713788205.012651,331366,52317,1,BI,1,100,1080
1713788205.732661,332086,52453,1,BI,1,100,720
1713788207.305681,333659,52697,1,BI,1,100,1560
1713788208.225693,334579,52847,1,BI,1,100,920
