LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1716209196.514052,209281.000,32560,2,MY,1,100,-60
1716209196.554052,209321.000,32560,2,MY,1,100,-59
1716209196.594386,209361.333,32574,3,MY,1,100,-61
1716209196.634720,209401.667,32574,3,MY,1,100,-60
1716209196.675054,209442.000,32574,3,MY,1,100,-59
1716209196.714554,209481.500,32593,2,MY,1,100,-59
1716209196.754055,209521.000,32593,2,MY,1,100,-60
1716209196.794055,209561.000,32610,3,MY,1,100,-60
1716209196.834055,209601.000,32610,3,MY,1,100,-60
1716209196.874056,209641.000,32610,3,MY,1,100,-59
1716209196.914557,209681.500,32627,2,MY,1,100,-58
1716209196.955057,209722.000,32627,2,MY,1,100,-59
1716209196.995057,209762.000,32641,3,MY,1,100,-61
1716209197.035058,209802.000,32641,3,MY,1,100,-60
1716209197.075058,209842.000,32641,3,MY,1,100,-59
1716209197.115059,209882.000,32659,3,MY,1,100,-59
1716209197.155059,209922.000,32659,3,MY,1,100,-59
1716209197.195060,209962.000,32659,3,MY,1,100,-59
1716209197.235060,210002.000,32675,2,MY,1,100,-59
1716209197.275061,210042.000,32675,2,MY,1,100,-60
1716209197.315061,210082.000,32692,3,MY,1,100,-61
1716209197.355062,210122.000,32692,3,MY,1,100,-60
1716209197.395062,210162.000,32692,3,MY,1,100,-61
1716209197.435062,210202.000,32706,2,MY,1,100,-59
1716209197.475063,210242.000,32706,2,MY,1,100,-59
1716209197.514730,210281.667,32726,3,MY,1,100,-62
1716209197.554397,210321.333,32726,3,MY,1,100,-60
1716209197.594064,210361.000,32726,3,MY,1,100,-59
1716209197.634065,210401.000,32742,2,MY,1,100,-59
1716209197.674065,210441.000,32742,2,MY,1,100,-59
1716209197.714066,210481.000,32759,3,MY,1,100,-60
1716209197.754066,210521.000,32759,3,MY,1,100,-60
1716209197.794067,210561.000,32759,3,MY,1,100,-59
1716209197.834067,210601.000,32775,2,MY,1,100,-59
1716209197.874068,210641.000,32775,2,MY,1,100,-60
1716209197.914068,210681.000,32791,3,MY,1,100,-60
1716209197.954069,210721.000,32791,3,MY,1,100,-60
1716209197.994069,210761.000,32791,3,MY,1,100,-59
1716209198.034070,210801.000,32807,2,MY,1,100,-59
1716209198.074070,210841.000,32807,2,MY,1,100,-60
1716209198.118737,210885.667,32825,3,MY,1,100,-62
1716209198.163404,210930.333,32825,3,MY,1,100,-60
1716209198.208071,210975.000,32825,3,MY,1,100,-59
1716209198.248072,211015.000,32841,2,MY,1,100,-60
1716209198.288073,211055.000,32841,2,MY,1,100,-59
1716209198.328073,211095.000,32856,3,MY,1,100,-60
1716209198.368073,211135.000,32856,3,MY,1,100,-58
1716209198.408074,211175.000,32856,3,MY,1,100,-59
1716209198.448074,211215.000,32875,2,MY,1,100,-61
1716209198.488075,211255.000,32875,2,MY,1,100,-60
1716209198.528075,211295.000,32892,3,MY,1,100,-60
1716209198.568076,211335.000,32892,3,MY,1,100,-60
1716209198.608076,211375.000,32892,3,MY,1,100,-58
1716209198.648077,211415.000,32913,4,MY,1,100,-60
1716209198.688077,211455.000,32913,4,MY,1,100,-59
1716209198.728078,211495.000,32913,4,MY,1,100,-59
1716209198.768078,211535.000,32913,4,MY,1,100,-58
1716209198.808079,211575.000,32933,2,MY,1,100,-59
1716209198.848079,211615.000,32933,2,MY,1,100,-60
1716209198.888079,211655.000,32949,3,MY,1,100,-59
1716209198.928080,211695.000,32949,3,MY,1,100,-60
1716209198.968081,211735.000,32949,3,MY,1,100,-59
1716209199.008081,211775.000,32968,2,MY,1,100,-59
1716209199.048081,211815.000,32968,2,MY,1,100,-60
1716209199.087749,211854.667,32984,3,MY,1,100,-59
1716209199.127416,211894.333,32984,3,MY,1,100,-58
1716209199.167083,211934.000,32984,3,MY,1,100,-59
1716209199.207583,211974.500,33002,2,MY,1,100,-57
1716209199.248084,212015.000,33002,2,MY,1,100,-59
1716209199.288084,212055.000,33017,3,MY,1,100,-59
1716209199.328085,212095.000,33017,3,MY,1,100,-60
1716209199.368085,212135.000,33017,3,MY,1,100,-59
1716209199.408086,212175.000,33033,2,MY,1,100,-59
1716209199.448086,212215.000,33033,2,MY,1,100,-58
1716209199.488086,212255.000,33052,3,MY,1,100,-58
1716209199.528087,212295.000,33052,3,MY,1,100,-59
1716209199.568087,212335.000,33052,3,MY,1,100,-59
1716209199.608088,212375.000,33069,2,MY,1,100,-58
1716209199.648088,212415.000,33069,2,MY,1,100,-59
1716209199.688089,212455.000,33085,3,MY,1,100,-59
1716209199.728089,212495.000,33085,3,MY,1,100,-59
1716209199.768090,212535.000,33085,3,MY,1,100,-59
1716209199.808090,212575.000,33101,2,MY,1,100,-59
1716209199.848091,212615.000,33101,2,MY,1,100,-59
1716209199.888091,212655.000,33117,3,MY,1,100,-59
1716209199.928092,212695.000,33117,3,MY,1,100,-59
1716209199.968092,212735.000,33117,3,MY,1,100,-59
1716209200.008093,212775.000,33136,3,MY,1,100,-59
1716209200.048093,212815.000,33136,3,MY,1,100,-59
1716209200.088094,212855.000,33136,3,MY,1,100,-59
1716209200.134594,212901.500,33153,2,MY,1,100,-58
1716209200.181095,212948.000,33153,2,MY,1,100,-59
1716209200.221095,212988.000,33168,2,MY,1,100,-59
1716209200.261096,213028.000,33168,2,MY,1,100,-59
1716209200.301096,213068.000,33184,3,MY,1,100,-58
1716209200.341096,213108.000,33184,3,MY,1,100,-58
1716209200.381097,213148.000,33184,3,MY,1,100,-60
1716209200.421098,213188.000,33201,2,MY,1,100,-59
1716209200.461098,213228.000,33201,2,MY,1,100,-58
1716209200.501098,213268.000,33218,3,MY,1,100,-59
1716209200.541099,213308.000,33218,3,MY,1,100,-59
1716209200.581099,213348.000,33218,3,MY,1,100,-59
1716209200.621100,213388.000,33233,2,MY,1,100,-57
1716209200.661100,213428.000,33233,2,MY,1,100,-59
1716209200.701101,213468.000,33249,3,MY,1,100,-59
1716209200.741101,213508.000,33249,3,MY,1,100,-59
1716209200.781102,213548.000,33249,3,MY,1,100,-59
1716209200.821102,213588.000,33271,3,MY,1,100,-58
1716209200.861103,213628.000,33271,3,MY,1,100,-59
1716209200.901103,213668.000,33271,3,MY,1,100,-59
1716209200.941103,213708.000,33287,2,MY,1,100,-59
1716209200.981104,213748.000,33287,2,MY,1,100,-57
1716209201.021104,213788.000,33304,3,MY,1,100,-59
1716209201.061105,213828.000,33304,3,MY,1,100,-59
1716209201.101105,213868.000,33304,3,MY,1,100,-60
1716209201.141106,213908.000,33321,2,MY,1,100,-59
1716209201.181106,213948.000,33321,2,MY,1,100,-60
1716209201.221107,213988.000,33338,3,MY,1,100,-58
1716209201.261107,214028.000,33338,3,MY,1,100,-59
1716209201.301108,214068.000,33338,3,MY,1,100,-59
1716209201.341108,214108.000,33356,2,MY,1,100,-57
1716209201.381109,214148.000,33356,2,MY,1,100,-59
1716209201.421109,214188.000,33372,3,MY,1,100,-57
1716209201.461110,214228.000,33372,3,MY,1,100,-59
1716209201.501110,214268.000,33372,3,MY,1,100,-59
1716209201.541111,214308.000,33388,2,MY,1,100,-58
1716209201.581111,214348.000,33388,2,MY,1,100,-59
1716209201.621111,214388.000,33405,3,MY,1,100,-58
1716209201.661112,214428.000,33405,3,MY,1,100,-59
1716209201.701112,214468.000,33405,3,MY,1,100,-59
1716209201.741113,214508.000,33423,2,MY,1,100,-58
1716209201.781113,214548.000,33423,2,MY,1,100,-58
1716209201.821114,214588.000,33441,3,MY,1,100,-58
1716209201.861114,214628.000,33441,3,MY,1,100,-59
1716209201.901115,214668.000,33441,3,MY,1,100,-59
1716209201.941115,214708.000,33455,2,MY,1,100,-58
1716209201.981116,214748.000,33455,2,MY,1,100,-59
1716209202.025450,214792.333,33472,3,MY,1,100,-61
1716209202.069783,214836.667,33472,3,MY,1,100,-59
1716209202.114117,214881.000,33472,3,MY,1,100,-59
1716209202.154118,214921.000,33489,2,MY,1,100,-57
1716209202.194118,214961.000,33489,2,MY,1,100,-59
1716209202.234118,215001.000,33510,3,MY,1,100,-60
1716209202.274119,215041.000,33510,3,MY,1,100,-59
1716209202.314120,215081.000,33510,3,MY,1,100,-59
1716209202.354120,215121.000,33524,2,MY,1,100,-59
1716209202.394120,215161.000,33524,2,MY,1,100,-60
1716209202.434121,215201.000,33542,3,MY,1,100,-59
1716209202.474121,215241.000,33542,3,MY,1,100,-59
1716209202.514122,215281.000,33542,3,MY,1,100,-59
1716209202.554122,215321.000,33558,2,MY,1,100,-58
1716209202.594123,215361.000,33558,2,MY,1,100,-59
1716209202.634123,215401.000,33575,3,MY,1,100,-59
1716209202.674124,215441.000,33575,3,MY,1,100,-59
1716209202.714124,215481.000,33575,3,MY,1,100,-61
1716209202.754125,215521.000,33589,2,MY,1,100,-59
1716209202.794125,215561.000,33589,2,MY,1,100,-59
1716209202.834126,215601.000,33607,3,MY,1,100,-60
1716209202.874126,215641.000,33607,3,MY,1,100,-57
1716209202.914127,215681.000,33607,3,MY,1,100,-60
1716209202.954127,215721.000,33623,3,MY,1,100,-59
1716209202.994128,215761.000,33623,3,MY,1,100,-59
1716209203.034128,215801.000,33623,3,MY,1,100,-60
1716209203.074128,215841.000,33642,2,MY,1,100,-59
1716209203.114129,215881.000,33642,2,MY,1,100,-59
1716209203.154129,215921.000,33658,3,MY,1,100,-59
1716209203.194130,215961.000,33658,3,MY,1,100,-59
1716209203.234130,216001.000,33658,3,MY,1,100,-61
1716209203.274131,216041.000,33674,2,MY,1,100,-59
1716209203.314131,216081.000,33674,2,MY,1,100,-59
1716209203.354132,216121.000,33690,3,MY,1,100,-59
1716209203.394132,216161.000,33690,3,MY,1,100,-59
1716209203.434133,216201.000,33690,3,MY,1,100,-59
1716209203.474133,216241.000,33708,2,MY,1,100,-58
1716209203.514133,216281.000,33708,2,MY,1,100,-60
1716209203.554134,216321.000,33723,3,MY,1,100,-59
1716209203.594135,216361.000,33723,3,MY,1,100,-58
1716209203.634135,216401.000,33723,3,MY,1,100,-60
1716209203.674135,216441.000,33739,2,MY,1,100,-58
1716209203.714136,216481.000,33739,2,MY,1,100,-59
1716209203.754136,216521.000,33764,4,MY,1,100,-59
1716209203.794137,216561.000,33764,4,MY,1,100,-60
1716209203.834137,216601.000,33764,4,MY,1,100,-59
1716209203.874138,216641.000,33764,4,MY,1,100,-57
1716209203.914138,216681.000,33783,3,MY,1,100,-58
1716209203.954139,216721.000,33783,3,MY,1,100,-59
1716209203.994139,216761.000,33783,3,MY,1,100,-59
1716209204.034140,216801.000,33800,2,MY,1,100,-57
1716209204.074140,216841.000,33800,2,MY,1,100,-59
1716209204.118474,216885.333,33817,3,MY,1,100,-59
1716209204.162808,216929.667,33817,3,MY,1,100,-60
1716209204.207142,216974.000,33817,3,MY,1,100,-60
1716209204.247142,217014.000,33833,2,MY,1,100,-60
1716209204.287143,217054.000,33833,2,MY,1,100,-59
1716209204.327143,217094.000,33848,3,MY,1,100,-59
1716209204.367143,217134.000,33848,3,MY,1,100,-59
1716209204.407144,217174.000,33848,3,MY,1,100,-58
1716209204.447145,217214.000,33866,2,MY,1,100,-59
1716209204.487145,217254.000,33866,2,MY,1,100,-59
1716209204.527145,217294.000,33882,3,MY,1,100,-59
1716209204.567146,217334.000,33882,3,MY,1,100,-59
1716209204.607146,217374.000,33882,3,MY,1,100,-59
1716209204.647147,217414.000,33899,2,MY,1,100,-59
1716209204.687147,217454.000,33899,2,MY,1,100,-58
1716209204.727148,217494.000,33913,3,MY,1,100,-59
1716209204.767148,217534.000,33913,3,MY,1,100,-59
1716209204.807149,217574.000,33913,3,MY,1,100,-59
1716209204.847149,217614.000,33933,2,MY,1,100,-60
1716209204.887150,217654.000,33933,2,MY,1,100,-59
1716209204.927150,217694.000,33949,3,MY,1,100,-59
1716209204.967150,217734.000,33949,3,MY,1,100,-59
1716209205.007151,217774.000,33949,3,MY,1,100,-59
1716209205.047151,217814.000,33966,2,MY,1,100,-59
