LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1716209212.845243,225612.000,35218,1,SF,1,100,86.1107
1716209213.245247,226012.000,35268,1,SF,1,100,85.1146
1716209213.511250,226278.000,35319,1,SF,1,100,86.2122
1716209213.845254,226612.000,35367,1,SF,1,100,85.2149
1716209214.245259,227012.000,35425,1,SF,1,100,84.2292
1716209214.511262,227278.000,35480,1,SF,1,100,87.4193
1716209214.845266,227612.000,35530,1,SF,1,100,88.4903
1716209215.245270,228012.000,35597,1,SF,1,100,89.5489
1716209215.511274,228278.000,35646,1,SF,1,100,88.5130
1716209215.845278,228612.000,35697,1,SF,1,100,89.5713
1716209216.178282,228945.000,35749,1,SF,1,100,90.6174
1716209216.578286,229345.000,35814,1,SF,1,100,89.5691
1716209216.844289,229611.000,35864,1,SF,1,100,90.6152
1716209217.178293,229945.000,35915,1,SF,1,100,91.6492
1716209217.578298,230345.000,35980,1,SF,1,100,90.5890
1716209217.844301,230611.000,36034,1,SF,1,100,93.7056
1716209218.178305,230945.000,36085,1,SF,1,100,94.7039
1716209218.511309,231278.000,36135,1,SF,1,100,95.6906
1716209218.911313,231678.000,36202,1,SF,1,100,94.5836
1716209219.244317,232011.000,36260,1,SF,1,100,95.5717
1716209219.577321,232344.000,36308,1,SF,1,100,94.4661
1716209219.844324,232611.000,36361,1,SF,1,100,95.4556
1716209220.177328,232944.000,36409,1,SF,1,100,94.3514
1716209220.577333,233344.000,36476,1,SF,1,100,95.3422
1716209220.911337,233678.000,36525,1,SF,1,100,94.2392
1716209221.177340,233944.000,36577,1,SF,1,100,95.2313
1716209221.511344,234278.000,36626,1,SF,1,100,94.1297
1716209221.911348,234678.000,36693,1,SF,1,100,95.1230
1716209222.177351,234944.000,36741,1,SF,1,100,94.0226
1716209222.510355,235277.000,36792,1,SF,1,100,95.0172
1716209222.911360,235678.000,36858,1,SF,1,100,93.9181
1716209223.244364,236011.000,36909,1,SF,1,100,94.9139
1716209223.510367,236277.000,36958,1,SF,1,100,93.8159
1716209223.844371,236611.000,37008,1,SF,1,100,94.8129
1716209224.244376,237011.000,37077,1,SF,1,100,95.7983
1716209224.510379,237277.000,37116,1,SF,1,100,94.6901
1716209224.910383,237677.000,37185,1,SF,1,100,95.6770
1716209225.177387,237944.000,37236,1,SF,1,100,94.5702
1716209225.510391,238277.000,37286,1,SF,1,100,95.5585
1716209225.843394,238610.000,37335,1,SF,1,100,94.4530
1716209226.243399,239010.000,37402,1,SF,1,100,95.4427
1716209226.510402,239277.000,37452,1,SF,1,100,94.3386
1716209226.843406,239610.000,37505,1,SF,1,100,97.4118
1716209227.243411,240010.000,37570,1,SF,1,100,96.2849
1716209227.510414,240277.000,37622,1,SF,1,100,99.3356
1716209227.843418,240610.000,37672,1,SF,1,100,98.1864
1716209228.177422,240944.000,37725,1,SF,1,100,101.2151
1716209228.577426,241344.000,37792,1,SF,1,100,102.1265
1716209228.843429,241610.000,37843,1,SF,1,100,103.0274
1716209229.177433,241944.000,37895,1,SF,1,100,103.9178
1716209229.510437,242277.000,37951,1,SF,1,100,102.7157
1716209229.843441,242610.000,38001,1,SF,1,100,103.6097
1716209230.243446,243010.000,38068,1,SF,1,100,104.4934
1716209230.510449,243277.000,38119,1,SF,1,100,103.2846
1716209230.843453,243610.000,38167,1,SF,1,100,102.0898
1716209231.243458,244010.000,38232,1,SF,1,100,100.9088
1716209231.510461,244277.000,38283,1,SF,1,100,101.8237
1716209231.843464,244610.000,38333,1,SF,1,100,100.6458
1716209232.176468,244943.000,38384,1,SF,1,100,99.4816
