LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1716209284.514480,297280.400,47047,10,PG,1,100,12142
1716209284.525180,297291.100,47047,10,PG,1,100,12176
1716209284.535880,297301.800,47047,10,PG,1,100,12165
1716209284.546580,297312.500,47047,10,PG,1,100,12161
1716209284.557280,297323.200,47047,10,PG,1,100,12153
1716209284.567981,297333.900,47047,10,PG,1,100,12172
1716209284.578681,297344.600,47047,10,PG,1,100,12161
1716209284.589381,297355.300,47047,10,PG,1,100,12181
1716209284.600081,297366.000,47047,10,PG,1,100,12177
1716209284.609808,297375.727,47064,11,PG,1,100,12159
1716209284.619536,297385.455,47064,11,PG,1,100,12169
1716209284.629263,297395.182,47064,11,PG,1,100,12177
1716209284.638990,297404.909,47064,11,PG,1,100,12179
1716209284.648718,297414.636,47064,11,PG,1,100,12178
1716209284.658445,297424.364,47064,11,PG,1,100,12184
1716209284.668173,297434.091,47064,11,PG,1,100,12191
1716209284.677900,297443.818,47064,11,PG,1,100,12184
1716209284.687627,297453.545,47064,11,PG,1,100,12162
1716209284.697355,297463.273,47064,11,PG,1,100,12169
1716209284.707082,297473.000,47064,11,PG,1,100,12191
1716209284.717416,297483.333,47080,9,PG,1,100,12196
1716209284.727749,297493.667,47080,9,PG,1,100,12193
1716209284.738082,297504.000,47080,9,PG,1,100,12182
1716209284.748416,297514.333,47080,9,PG,1,100,12206
1716209284.758749,297524.667,47080,9,PG,1,100,12188
1716209284.769083,297535.000,47080,9,PG,1,100,12223
1716209284.779416,297545.333,47080,9,PG,1,100,12193
1716209284.789750,297555.667,47080,9,PG,1,100,12204
1716209284.800083,297566.000,47080,9,PG,1,100,12230
1716209284.809811,297575.727,47096,11,PG,1,100,12212
1716209284.819538,297585.455,47096,11,PG,1,100,12220
1716209284.829265,297595.182,47096,11,PG,1,100,12216
1716209284.838993,297604.909,47096,11,PG,1,100,12203
1716209284.848720,297614.636,47096,11,PG,1,100,12208
1716209284.858448,297624.364,47096,11,PG,1,100,12202
1716209284.868175,297634.091,47096,11,PG,1,100,12222
1716209284.877902,297643.818,47096,11,PG,1,100,12244
1716209284.887630,297653.545,47096,11,PG,1,100,12251
1716209284.897357,297663.273,47096,11,PG,1,100,12231
1716209284.907084,297673.000,47096,11,PG,1,100,12243
1716209284.917418,297683.333,47112,9,PG,1,100,12243
1716209284.927751,297693.667,47112,9,PG,1,100,12235
1716209284.938085,297704.000,47112,9,PG,1,100,12256
1716209284.948418,297714.333,47112,9,PG,1,100,12249
1716209284.958752,297724.667,47112,9,PG,1,100,12273
1716209284.969085,297735.000,47112,9,PG,1,100,12248
1716209284.979419,297745.333,47112,9,PG,1,100,12235
1716209284.989752,297755.667,47112,9,PG,1,100,12248
1716209285.000086,297766.000,47112,9,PG,1,100,12250
1716209285.009813,297775.727,47129,11,PG,1,100,12263
1716209285.019540,297785.455,47129,11,PG,1,100,12224
1716209285.029268,297795.182,47129,11,PG,1,100,12233
1716209285.038995,297804.909,47129,11,PG,1,100,12218
1716209285.048723,297814.636,47129,11,PG,1,100,12216
1716209285.058450,297824.364,47129,11,PG,1,100,12227
1716209285.068177,297834.091,47129,11,PG,1,100,12213
1716209285.077904,297843.818,47129,11,PG,1,100,12182
1716209285.087632,297853.545,47129,11,PG,1,100,12218
1716209285.097359,297863.273,47129,11,PG,1,100,12198
1716209285.107087,297873.000,47129,11,PG,1,100,12176
1716209285.116723,297882.636,47146,11,PG,1,100,12170
1716209285.126360,297892.273,47146,11,PG,1,100,12158
1716209285.135996,297901.909,47146,11,PG,1,100,12150
1716209285.145633,297911.545,47146,11,PG,1,100,12162
1716209285.155269,297921.182,47146,11,PG,1,100,12156
1716209285.164906,297930.818,47146,11,PG,1,100,12156
1716209285.174542,297940.455,47146,11,PG,1,100,12168
1716209285.184179,297950.091,47146,11,PG,1,100,12130
1716209285.193815,297959.727,47146,11,PG,1,100,12171
1716209285.203451,297969.364,47146,11,PG,1,100,12140
1716209285.213088,297979.000,47146,11,PG,1,100,12163
1716209285.223532,297989.444,47161,9,PG,1,100,12137
1716209285.233977,297999.889,47161,9,PG,1,100,12149
1716209285.244422,298010.333,47161,9,PG,1,100,12151
1716209285.254866,298020.778,47161,9,PG,1,100,12118
1716209285.265311,298031.222,47161,9,PG,1,100,12153
1716209285.275755,298041.667,47161,9,PG,1,100,12149
1716209285.286200,298052.111,47161,9,PG,1,100,12137
1716209285.296644,298062.556,47161,9,PG,1,100,12140
1716209285.307089,298073.000,47161,9,PG,1,100,12128
1716209285.317689,298083.600,47177,10,PG,1,100,12134
1716209285.328289,298094.200,47177,10,PG,1,100,12133
1716209285.338889,298104.800,47177,10,PG,1,100,12113
1716209285.349489,298115.400,47177,10,PG,1,100,12123
1716209285.360090,298126.000,47177,10,PG,1,100,12142
1716209285.370690,298136.600,47177,10,PG,1,100,12166
1716209285.381290,298147.200,47177,10,PG,1,100,12128
1716209285.391890,298157.800,47177,10,PG,1,100,12150
1716209285.402490,298168.400,47177,10,PG,1,100,12139
1716209285.413090,298179.000,47177,10,PG,1,100,12119
1716209285.422818,298188.727,47197,11,PG,1,100,12151
1716209285.432545,298198.455,47197,11,PG,1,100,12154
1716209285.442272,298208.182,47197,11,PG,1,100,12146
1716209285.452000,298217.909,47197,11,PG,1,100,12163
1716209285.461727,298227.636,47197,11,PG,1,100,12133
1716209285.471455,298237.364,47197,11,PG,1,100,12164
1716209285.481182,298247.091,47197,11,PG,1,100,12144
1716209285.490909,298256.818,47197,11,PG,1,100,12173
1716209285.500637,298266.545,47197,11,PG,1,100,12156
1716209285.510364,298276.273,47197,11,PG,1,100,12169
1716209285.520092,298286.000,47197,11,PG,1,100,12161
1716209285.530425,298296.333,47213,9,PG,1,100,12138
1716209285.540758,298306.667,47213,9,PG,1,100,12153
1716209285.551092,298317.000,47213,9,PG,1,100,12136
1716209285.561425,298327.333,47213,9,PG,1,100,12162
1716209285.571759,298337.667,47213,9,PG,1,100,12153
1716209285.582092,298348.000,47213,9,PG,1,100,12144
1716209285.592426,298358.333,47213,9,PG,1,100,12192
1716209285.602759,298368.667,47213,9,PG,1,100,12172
1716209285.613093,298379.000,47213,9,PG,1,100,12212
1716209285.622820,298388.727,47230,11,PG,1,100,12175
